,"Arabic"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO THE CUSTOMER, ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD , ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","إلى الحد الأقصى الذي يسمح به القانون المعمول به، لا تعتبر المجموعة مسؤولة تجاه العميل، أي مستخدم، أو أي شخص آخر عن أية أضرار خاصة أو عرضية أو عقابية  أو غير مباشرة، أو أي ضمانات، سواء في أي عمل أو عقد، الأسهم، المسؤولية الصارمة، المسؤولية التقصيرية (بما في ذلك، ولكن ليس على سبيل الحصر، الإهمال) أو غيرها من نظرية المسؤولية (بما في ذلك، ولكن ليس على سبيل الحصر، خرق الضمان) الناشئة من أي وسيلة مرتبطة مع أو فيما يتعلق باستخدام أو أداء أو عدم القدرة على استخدام Futureed أو أي خطأ أو حذف أو عدم الدقة الواردة في أي بيانات أو معلومات أو تسجيل النتائج التي حصل عليها من خلال أو الناتجة عن استخدام Futureed أو من أي خسارة أو تلف البيانات أو المعلومات أو السجلات الأخرى، حتى لو تم إخبار المجموعة من إمكانية حدوث مثل هذه الأضرار أو مثل هذا الاحتمال بما في ذلك (ولكن ليس على سبيل الحصر) الأضرار الناجمة عن فقدان الاستخدام، التأخير أو خسارة العمل، وفقدان الإيرادات أو الأرباح أو الادخار، فقدان أو تلف البيانات أو المعلومات أو السجلات الأخرى، وفقدان الخصوصية، وضياع السمعة، والمسؤولية لأطراف أخرى، والتي تنشأ عن أو في أي وسيلة مرتبطة مع أو تتعلق باستخدام أو أداء أو عدم القدرة على استخدام Futureed أو الناشئة أو في أي وسيلة مرتبطة مع أو فيما يتعلق باستخدام أو عدم القدرة على استخدام أي بيانات أو معلومات أخرى، أو النتائج المتحصلة أو الناتجة عن استخدام أو عدم القدرة على استخدام Futureed، أي فقدان أو تلف البيانات أو المعلومات أو السجلات الأخرى، أو الناجمة عن أي فشل في تلبية أي التزام، بما في ذلك (ولكن ليس على سبيل الحصر) أي التزام يخص حسن النية أو العناية التجارية، أو الناشئة عن أي مسار تعاملي، الأداء، الاستخدام أو التجارة، أو غير ذلك، حتى لو تم إخبار المجموعة أو Futureed حول إمكانية حدوث مثل هذه الأضرار أو إذا كان هذا متوقعا."
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA's TOTAL LIABILITY AND OBLIGATION ARISING OUT OF OR IN ANY MANNER CONNECTED WITH OR RELATING TO THE CUSTOMER’S OR ANY USER’S USE OR INABILITY TO USE FUTUREED PTE LTD , OR THE RESULTS OBTAINED FROM THE USE OF FUTUREED PTE LTD IS LIMITED TO DIRECT DAMAGES WHICH SHALL NOT IN ANY EVENT EXCEED ONE HUNDRED SINGAPORE DOLLARS (S$100.00) IN THE AGGREGATE. TO THE MAXIMUM EXTEND PERMITTED BY APPLICABLE LAW, THIS LIMITATION APPLIES REGARDLESS AS TO WHETHER THE LIABILITY IS BASED ON BREACH OF CONTRACT, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE), STRICT LIABILITY, BREACH OF WARRANTY, OR ANY OTHER LEGAL THEORY.'","إلى الحد الأقصى الذي يسمح به القانون المعمول به، مسؤولية المجموعة والتزامها الناشئ عن أو بأي شكل من الأشكال المرتبط أو المتعلقة باستخدام الزبون أو استخدام أي مستخدم أو عدم القدرة على استخدام Futureed ، أو النتائج التي تم الحصول عليها من استخدام Futureed إلى الأضرار المباشرة التي لا يجوز في أي حال أن تتجاوز مائة دولار سنغافوري. إلى الحد الأقصى الذي يسمح به القانون المعمول به، هذا الشرط ينطبق بغض النظر عما إذا كان يستند على إلغاء أو خرق العقد، المسؤولية التقصيرية (بما في ذلك، ولكن ليس على سبيل الحصر، الإهمال)، المسؤولية الصارمة، خرق الضمان، أو أي نظرية قانونية أخرى. '"
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","إلى الحد الأقصى الذي يسمح به القانون المعمول به، لن تحضر، تطلب، تنضم، أو تشارك في إجراء صفي أو حل الخلافات الصفية لأي دعوى أو مطالبة أو دعوى أو سبب الدعوى ضد المجموعة، Futureed الناشئة من أو المرتبطة بأي وسيلة مرتبطة مع Futureed، استخدامك لموقع Futureed، أو أي اختبار أو غيرها من المنتجات أو الخدمات التي تم الحصول عليها من خلال Futureed، وأنت تتنازل عن أي حق لك الآن أو في المستقبل لحضور، طلب، والانضمام أو المشاركة في أي دعوى أو التحكيم أو إجراءات أخرى أو للمشاركة كممثل أو عضوا عن أي صف من المطالبين بأي ادعاء، طلب، دعوى أو سبب الدعوى الناشئة من، المتصلة أو في أي وسيلة مرتبطة باستخدامك l,ru Futureed، أو أي اختبار، أو منتج أو خدمة أخرى يتم الحصول عليها من خلال موقع Futureed. لا يشكل هذا الحكم تنازلا عن أي من الحقوق والتعويضات الخاصة بك لرفع دعوى بشكل فردي، وليس إجراء فصلي، تحكيم فصلي أو أساس موحد أو كممثل أو عضو في أية فئة من المطالبين.، "
,
"Severability","القابلية"
,
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","في حال كان حكم أو أكثر من هذه الأحكام غير صالح أو غير قانوني أو غير قابل للتنفيذ، سوف يتم تعديل هذه الأحكام، إن أمكن، إلى الحد الأدنى الضروري لجعلها صالحة وسارية المفعول، أو إذا لم يمكن تعديل ذلك، فسيتم قبولها كما هي، في حين تبقى الأحكام المتبقية الواردة هنا دون أي تأثير أو تغيير"
,
"Jurisdiction and Governing Law","القانون الملزم والاختصاص، "
,
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","تخضع صحة، وبناء، وإنفاذ وتفسير هذه الشروط وشروط الاستخدام لقوانين سنغافورة."
,
"Waiver","التنازل، "
,
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","لا يعني إخفاق المجموعة في فرض الامتثال الصارم لأي شرط من هذه الشروط تنازلا عن الحق في هذا الحكم لاحقا."
,
"Your Consent","الموافقة"
,
"By using our site, you consent to our terms and conditions as written in this agreement.",
,
"Contacting Us","التواصل معنا، "
,
"If there are any questions regarding this policy you may contact us using the information below.","إذا كان هناك أي أسئلة بخصوص هذه السياسة يمكنك الاتصال بنا باستخدام المعلومات الواردة أدناه"
,
,
"To get started on using Future Lesson, you need to add a student, click","للبدء في استخدام دروس Future، يجب عليك إضافة طالب، أنقر، "
"If you already added a Student, you can","إذا ضفت طالب من قبل، يمكنك، "
"buy a subject","شراء مادة، "
"for the your student","للطالب، "
"You can also","كما يمكنك، "
"review","عرض، "
"the lessons and practice questions.","الدروس وحل الأسئلة، "
,
,
"Progress in Future Lesson Curriculum","التقدم في منهاج دروس Future "
"Progress in Future Lesson Curriculum","التقدم في منهاج دروس Future "
"Badges Earned",
"Number of Medals Earned","عدد الميداليات المكتسبة، "
"Lessons Completed","اكتملت الدروس، "
"Tips Written","تم كتابة النصائح، "
"Hours Spent in Last 7 Days","عدد الساعات في آخر 7 أيام، "
"Hours Spend","الساعة المقضية، "
,
,
"Invitation Code","رمز الدعوة، "
"The student you have added will be receiving an email containing the code.","سوف يتلقى الطالب المضاف بريد يحتوي على الرمز.، "
"Please get this code from the student and input it on the field above.","الرجاء احصل على هذا الرمز من الطالب، ثم أدخله في الحقل الواضح أعلاه.، "
"You can also confirm the invitation code in viewing the student details.","يمكنك أيضا تأكيد رمز الدعوة من خلال عرض تفاصيل الطالب.، "
,
,
"Teaching Content","المحتوى التعليمي، "
,
,
"Principal Dashboard","لوحة تحكم المدير، "
"Teacher Dashboard","لوحة تحكم المدرس، "
"Parent Dashboard","لوحة تحكم ولي الامر، "
,
,
"Teacher Details","تفاصيل المدرس، "
,
,
"Delete Teacher","حذف المدرس، "
"Are you sure you want to delete this teacher account?","هل أنت متأكد أنك تريد حذف حساب هذا المعلم"
,
,
"Add Teacher","إضافة مدرس، "
"Send Invitation","إرسال دعوة، "
,
,
"Delete Invoice","حذف الفاتورة، "
"Are you sure you want to delete this invoice?","هل أنت متأكد أنك تريد حذف هذه الفاتورة؟، "
"Cancel Subscription","إلغاء الاشتراك، "
"Are you sure you want to cancel this subscription?","هل أنت متأكد أنك تريد إلغاء هذه الاشتراك؟ "
,
,
"View Sales Invoice","عرض فاتورة المبيعات؟ "
,
,
"To get started on using Future Lesson, you need to invite a","للبدء في استخدام دروس Future، تحتاج إلى دعوة"
"first to manage your classes.","أولا لإدارة الفصول الدراسية."
"If you have already invited a Teacher, you need to go to the","إذا كنت قد دعوت معلم من قبل، يجب الذهاب إلى"
"to buy seats for your classes.","لشراء مقاعد للفصول، "
,
,
"You have successfully changed your password.","لقد قمت بتغيير كلمة المرور بنجاح، "
,
,
"Email Confirmation Code Sent","تم إرسال رمز تأكيد البريد، "
"Email Confirmation Code Resent","تم إعادة إرسال رمز تأكيد البريد، "
"Please enter the email code to confirm your new email address.","الرجاء إدخال رمز البريد الإلكتروني لتأكيد عنوان بريدك الإلكتروني الجديد."
"A new email code has been sent to your email account.","تم إرسال رمز بريد إلكتروني جديد إلى حساب البريد الإلكتروني الخاص بك."
"Enter Email Confirmation Code","أدخل رمز تاكيد البريد الالكتروني "
"You have successfully confirmed your new email address.","لقد أكدت بنجاح عنوان بريدك الإلكتروني الجديد."
,
,
"To get started on using Future Lesson, you need to add a student under a","للبدء في استخدام دروس Future، تحتاج إلى إضافة الطالب في"
"To see all your students, click","لمشاهدة كل الطلاب، انقر فوق"
"To review the lessons and practice questions, click on","لمراجعة الدروس وحل الأسئلة، اضغط على"
"View class list","عرض قائمة الصف، "
,
,
"Be right back.","سأعود حالا، "
"We are currently undergoing maintenance.","نجري الأن صيانة دورية، "
,
,
"Invalid Access","وصول غير صالح"
"Sorry, you do not have the permission to access this page.","آسف، ليس لديك إذن لدخول هذه الصفحة."
"Take me home","خذنى إلى المنزل"
,
,
"Page Not Found","الصفحة غير موجودة"
"Sorry, the page you are trying to access does not exist.","عذرا، الصفحة التي تحاول الوصول إليها غير موجودة."
,
,
"Click here to reset your password","انقر هنا لإعادة تعيين كلمة المرور الخاصة بك"
,
,
"All saved progress in","تم حفظ كافة التقدم في"
"Module has been reset by Admin.","تم إعادة تعيين الوحدة من قب المشرف، "
"If you did not ask for this change, please contact Administrator right away.","إذا لم تطلب هذا التغيير، يرجى الاتصال بالمشرف على الفور."
,
,
"You have opt to resend your confirmation code.","لقد طلبت إعادة إرسال رمز التأكيد، "
"Your confirmation code","رمز التأكيد الخاص بك"
"Link to Future Lessons","الاتصال بدروس Future، "
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","شكرا لحضوركم معنا في دروس Future وتهانينا على الأشتراك بمجتمع المتعلمين عبر شبكة الإنترنت! ونحن نتطلع إلى الاستمتاع بصحبتكم في مغامرة التعلم الجديدة، "
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","أخبرنا، ماذا تحب أن تصبح في المستقبل؟ طبيب، رائد فضاء، عالم؟ اختر الصورة الرمزية الخاصة بك"
,
,
"has requested to add you in his/her dashboard.","طلب إضافتك في لوحة التحكم الخاصة به، "
"Please give this invitation code so that you will be added in his/her student list.","يرجى إعطاء رمز الدعوة حتى يتسنى إضافتك في قائمة الطالب الخاصة به/ها. "
"Invitation code","رمز الدعوة، "
,
,
"would like you to join us on the Future Lesson platform. Please go to","هل ترغب في الاشتراك في منصة دروس Future. الرجاء الذهاب إلى، "
"Registration Page","صفحة التسجيل، "
"and create your profile to join this community.","وقم بإنشاء ملفك الشخصي للانضمام إلى المجتمع.، "
"We look forward to taking this incredible learning adventure with you and your students.","نتطلع شوقا إلى فرصة التعلم السعيدة بصحبتك وصحبة طلابك.، "
,
,
"You have been added in","لقد تم إضافتك في، "
"by Teacher","من قبل المعلم، "
,
,
"Your Future Lesson account is now active.","حساب دروس Future الخاص بك مفعل حاليا. "
"Please go to","الرجاء الذهاب إلى، "
"Login Page","صفحة تسجيل الدخول، "
"and login to begin your adventure on the Future Lesson platform.","وسجل الدخول لتبدأ المغامرة عبر منصة دروس Future.، "
,
,
"You need to update your billing information in order to proceed buying a subscription.","تحتاج إلى تحديث معلومات الفواتير الخاصة بك من أجل شراء اشتراك."
"Update Now","تحديث الان"
,
,
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","لم يتم التحقق من حسابك، يرجى مراجعة تسجيلك وحاول مرة أخرى أو اتصل بمسؤول النظام في help@futurelesson.com."
"Go To Registration","الذهاب إلى التسجيل"
,
,
"You have opt to resend your confirmation code.","لقد طلبت إعادة إرسال رمز التأكيد الخاص بك."
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web!  We look forward to taking this incredible learning adventure with you and your student.","شكرا لحضوركم معنا في دروس Future وتهانينا على الأشتراك بمجتمع المتعلمين عبر شبكة الإنترنت! ونحن نتطلع إلى الاستمتاع بصحبتكم وصحبة طلابكم في مغامرة التعلم الجديدة، "
"To start we need you to confirm with the code on the link provided below.","للبدء، يتعين عليك التأكيد باستخدام الرمز على الرابط المزود أدناه.، "
,
,
"To start your learning we need you to confirm with the code on the link provided below.","لبدء عملية التعلم، يتعين عليك التأكيد باستخدام الرمز على الرابط المزود أدناه.، "
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","شكرا لحضوركم معنا في دروس Future وتهانينا على الأشتراك بمجتمع المتعلمين عبر شبكة الإنترنت! ونحن نتطلع إلى الاستمتاع بصحبتكم وصحبة أطفالكم في مغامرة التعلم الجديدة، "
,
,
"has assigned you to","عينك"
"to teach. You may now start adding your students to your class.","للتدريس. يمكنك بدء إضافة طلابك في الفصل.، "
"to login.","لتسجيل الدخول.، "
,
,
"to create your profile to join this community and set-up your classroom.","لإنشاء الملف الشخصي للانضمام إلى هذا المجتمع، وإنشاء الفصل الدراسي.، "
,
,
"Your password has been reset. Your new password is","لقد تم إعادة تعيين كلمة المرور. كلمة المرور الجديدة هي، "
"If you did not request for this, please contact the administrator right away.","إذا لم تطلب هذه الطلب، الرجاء التواصل مع المشرف في الحال.، "
,
,
"Your email has been changed from","لقد تم تغيير بريك الالكتروني من، "
"You can now use this email in your","يمكنك الآن استخدام هذا البريد في، "
,
,
"Your Picture Password has been saved.","تم حفظ كلمة مرور الصورة.، "
"You may now use this picture password in your succeeding login.","يمكن الآن استخدام كلمة مرور الصورة في تسجيل الدخول.، "
"Change Picture Password","تغيير كلمة مرور الصورة، "
,
,
"Please enter the email confirmation code to verify your new email address.","الرجاء إدخال رمز تأكيد البريد الالكتروني لتأكيد البريد الجديد.، "
"The email contains an email code that you need to input below.","يحتوي البريد على رمز البريد الذي يجب إدخاله  في الأسفل.، "
,
,
"Please Select Your Picture Password","الرجاء تحديد كلمة مرور الصورة، "
,
,
"You have no available subjects.","ليس لديك مواد متاحة.، "
"You need a Teacher to add you to a Class.","تحتاج إلى مدرس لإضافتك إلى الفصل.، "
"You can have your Parent buy you a subscription.","يمكنك طلب شراء اشتراك من والديك.، "
"You can proceed to","يمكن الذهاب إلى، "
"Student Payment","دفع"
"page.","صفحة الطالب.، "
,
,
"Please enter the reset code to create your new picture password.","الرجاء إدخال رمز إعادة التعيين لإنشاء كلمة مرور الصورة الجديدة.، "
"A new email to reset your picture password has been sent to your email account.","تم إرسال بريد جديد لإعادة تعيين كلمة مرور الصورة إلى حسابك الخاص.، "
"Please enter the confirmation code to verify your email address and to setup your new picture password.","الرجاء إدخال رمز التأكيد للتحقق من عنوان البريد الإلكتروني الخاص بك وكلمة المرور الخاصة بك لإعداد كلمة مرور جديدو للصورة."
,
,
"FUTUREED PRIVACY POLICY","سياسة خصوصية Futureed"
"What information do we collect?","ما هي المعلومات التي نجمعها؟ "
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","نقوم بجمع معلومات خاصة منك عندما تقوم بالتسجيل في موقعنا، وعند طلب طلبية ما، أو تعبئة استبيان أو تقييم أو ملء نموذج معين. عند الطلب أو التسجيل في موقعنا، حسب الاقتضاء، قد يطلب منك أن تدخل اسمك وعنوان البريد الإلكتروني، العنوان البريدي، وتاريخ الميلاد، ورقم الهاتف، والشركة، العنوان، أو الهوية / رقم جواز السفر. كما يمكنك زيارة موقعنا بشكل خفي."
"What do we use your information for?","في ماذا تستخدم المعلومات؟ "
"Any of the information we collect from you may be used in one of the following ways:","أي معلومات نجمعها منك قد تستخدم في واحدة من الطرق التالية :"
"To assist us to create an account for your use and for administration of our products","لمساعدتنا في إنشاء حساب للاستخدام الخاص وإدارة منتجاتنا"
"To assist us in terms of test administration and scoring purposes. Many of our tests have norms that are pegged to age hence collecting date of birth is necessary but we will only do so when strictly required","لمساعدتنا في إدارة الاختبار وتصحيحه. العديد من الاختبارات تحتوي على معايير مرتبطة بالسن، وبالتالي جمع معلومات عن تاريخ الميلاد ضروري، ولكننا لن تفعل ذلك إلا عندما تقتضي الحاجة"
"To assist us in resolving any of your technical or content or questions you may have about our products and services","لمساعدتنا في حل أي من الأسئلة أو المحتوى التقني حول منتجاتنا وخدماتنا"
"To personalize your experience (your information helps us to better respond to your individual needs)","لتخصيص تجربتك (تساعدنا المعلومات الخاصة بك في الرد بشكل أفضل للاحتياجات الفردية الخاصة بك)"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","لتحسين موقعنا عبر الانترنت (نسعى باستمرار لتحسين عروض موقعنا بناء على المعلومات والملاحظات التي نتلقاها منك)"
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","لتحسين خدمة العملاء (تساعدنا معلوماتك في الرد بشكل أكثر فعالية لطلبات خدمة العملاء واحتياجات الدعم)"
"To process transactions","لمعالجة المعاملات، "
"To administer a contest, promotion, survey or other site feature","لإدارة المسابقات، والترويج والاستبيانات وغيرها من مميزات الموقع"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","لإرسال رسائل البريد الإلكتروني الدورية. عنوان البريد الإلكتروني الذي تقدمه لنا يمكن أن يستخدم لإرسال المعلومات والتحديثات المتعلقة بطلبك، بالإضافة إلى تلقي معلومات أخبار الشركة والتحديثات الخاصة بطلبك أو الخدمات الأخرى في بعض الأحيان، الخ. ملاحظة: إذا كانت في أي وقت تريد إلغاء الاشتراك وعدم تلقي رسائل البريد الإلكتروني مستقبلا، فقد أدرجنا تعليمات مفصلة حول إلغاء الاشتراك في أسفل كل رسالة بريد إلكتروني."
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","معلوماتك الشخصية، سواء كانت عامة أو خاصة، لن يتم بيعها وتبادلها ونقلها، أو تعطي إلى أي شركة أخرى لأي سبب كان، دون موافقتك، وغيرها بغرض تقديم المنتج الذي تم شراؤه أو الخدمة المطلوبة."
"How do we protect your information?","كيف نحمي معلوماتك؟ "
"We implement a variety of security measures to maintain the safety of your personal information when you place an order or enter, submit, or access your personal information.","نقوم بتطبيق مجموعة من الإجراءات الأمنية للحفاظ على سلامة المعلومات الشخصية الخاصة بك عند طلب طلبية ما أو إدخال، أو إرسال، أو الدخول إلى معلوماتك الشخصية."
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential.","نقدم خادم آمن. يتم نقل المعلومات الحساسة / الائتمان عبر تقنية طبقة المقابس الآمنة،  ثم يتم تشفيرها في قاعدة بيانات مزودي بوابة الدفع للوصول إليها فقط من قبل الأشخاص المخولين، ولديهم حق الدخول إلى مثل هذه الأنظمة، للحفاظ على سرية المعلومات."
"After a transaction, your private information (credit cards, social security numbers, financials, etc.) will not be kept on file for more than 60 days.","بعد المعاملة التجارية، لن يتم الاحتفاظ بالمعلومات الخاصة بك (بطاقات الائتمان، وأرقام الضمان الاجتماعي والمالي، الخ) في الملف لأكثر من 60 يوم"
"Do we use cookies?","هل نستخدم الكوكيز؟ "
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","نعم (الكوكيز هي عبارة عن ملفات صغيرة يقوم الموقع أو مزود الخدمة بنقلها إلى القرص الصلب في جهاز الكمبيوتر من خلال متصفح الويب الخاص بك (إذا سمحت بذلك) وهذا يمكن المواقع أو مزودي الخدمة بالتعرف على متصفح الانترنت الخاص بك، والتقاط وتذكر معلومات معينة"
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","نعم (الكوكيز هي عبارة عن ملفات صغيرة يقوم الموقع أو مزود الخدمة بنقلها إلى القرص الصلب في جهاز الكمبيوتر من خلال متصفح الويب الخاص بك (إذا سمحت بذلك) وهذا يمكن المواقع أو مزودي الخدمة بالتعرف على متصفح الانترنت الخاص بك، والتقاط وتذكر معلومات معينة"
"We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future. We may contract with third-party service providers to assist us in better understanding our site visitors. These service providers are not permitted to use the information collected on our behalf except to help us conduct and improve our business.","نستخدم الكوكيز لمساعدتنا في تذكر ومعالجة العناصر في سلة التسوق الخاصة بك، وفهم وحفظ التفضيلات الخاصة بك للزيارات المستقبلية، وتجميع البيانات حول حركة زوار الموقع، والتفاعل في موقع حتى نقدم خدمة مميزة للمستخدمين وأدوات أفضل في المستقبل. قد نتعاقد مع أطراف أخرى لمساعدتنا في فهم زوار موقعنا بشكل أفضل. لا يسمح لمقدمي هذه الخدمات استخدام المعلومات التي تم جمعها نيابة عنا إلا لمساعدتنا في إجراء وتحسين أعمالنا."
"If you prefer, you can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies via your browser settings. Like most websites, if you turn your cookies off, some of our services may not function properly. However, you can still place orders over the telephone or by contacting customer service.","يمكنك اختيار خيار التنبيه من جهاز الكمبيوتر الخاص بك لتحذيرك في كل مرة يتم إرسال ملف تعريف الارتباط، أو يمكنك إيقاف تشغيل كافة ملفات تعريف الارتباط عن طريق إعدادات المتصفح الخاص بك. ومثل معظم المواقع، إذا قمت بإيقاف ملفات تعريف الارتباط الخاصة بك، قد لا تعمل بعض الخدمات بشكل صحيح. ولكن، لا يزال بإمكانك طلب الطلبيات عبر الهاتف أو عن طريق الاتصال بخدمة العملاء."
