"DO NOT EDIT","Thai"
"Severability","การถือเป็นโมฆะ"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","ในกรณีที่คนใดคนหนึ่งหรือมากกว่าของบทบัญญัติเหล่านี้ควรจะจัดขึ้นที่ไม่ถูกต้องผิดกฎหมายหรือไม่มีผลบังคับใช้บทบัญญัติดังกล่าวจะได้รับการแก้ไขถ้าเป็นไปได้ในขอบเขตขั้นต่ำที่จำเป็นเพื่อให้มีผลบังคับใช้หรือถ้าพวกเขาไม่สามารถแก้ไขได้เป็นเช่นนั้นแล้ว ตัดและบทบัญญัติที่เหลืออยู่ในที่นี้จะไม่ได้อยู่ในทางใดทางหนึ่งได้รับผลกระทบหรือเกิดการด้อยค่า"
"Jurisdiction and Governing Law","อัยการและกฎหมายปกครอง"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","ความถูกต้อง การก่อสร้าง การบังคับใช้และการตีความข้อตกลงและเงื่อนไขในการใช้งานเหล่านี้คือการได้รับการควบคุมกฎหมายของประเทศสิงคโปร์"
"Waiver","การสละสิทธิ"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","ความล้มเหลวของ KCGA ในการบังคับใช้ประสิทธิภาพการทำงานที่เข้มงวดของบทบัญญัติของข้อตกลงใดๆ เหล่านี้ไม่ถือว่าเป็นการสละสิทธิ์ในการภายหลังการบังคับใช้บทบัญญัติดังกล่าว"
"Your Consent","ความยินยอมของคุณ"
"By using our site, you consent to our terms and conditions as written in this agreement.","โดยใช้เว็บไซต์ของเราคุณยินยอมที่จะข้อกำหนดและเงื่อนไขตามที่เขียนไว้ในข้อตกลงนี้ของเรา"
"Contacting Us","การติดต่อเรา"
"If there are any questions regarding this policy you may contact us using the information below.","หากมีข้อสงสัยใดๆ เกี่ยวกับนโยบายนี้คุณสามารถติดต่อเราโดยใช้ข้อมูลด้านล่างนี้"
"To get started on using Future Lesson, you need to add a student, click","ในการเริ่มต้นในการใช้บทเรียน คุณจะต้องเพิ่มนักเรียนคลิก"
"If you already added a Student, you can","หากคุณเพิ่มนักเรียนแล้ว คุณสามารถ"
"buy a subject","ซื้อรายวิชา"
"for the your student","สำหรับนักเรียนของคุณ"
"You can also","นอกจากนี้คุณยังสามารถ"
"review","ทบทวน"
"the lessons and practice questions.","บทเรียนและแบบทดสอบ"
"Progress in Future Lesson Curriculum","ความคืบหน้าในบทเรียนหลักสูตร"
"Progress in Future Lesson Curriculum","ความคืบหน้าในบทเรียนหลักสูตร"
"Badges Earned","ป้ายที่ได้รับ"
"Number of Medals Earned","จำนวนเหรียญที่ได้รับ"
"Lessons Completed","บทเรียนเสร็จสมบูรณ์"
"Tips Written","เคล็ดลับการเขียน"
"Hours Spent in Last 7 Days","เวลาที่ใช้ใน 7 วัน"
"Hours Spend","เวลาที่ใช้"
"Invitation Code","รหัสเชิญ"
"The student you have added will be receiving an email containing the code.","นักเรียนที่คุณได้เพิ่มจะได้รับอีเมล์ที่มีรหัส"
"Please get this code from the student and input it on the field above.","โปรดรับรหัสนี้จากนักเรียนและใส่ไว้ในข้อมูลดังกล่าวข้างต้น"
"You can also confirm the invitation code in viewing the student details.","นอกจากนี้คุณยังสามารถยืนยันรหัสเชิญในการดูรายละเอียดของนักเรียน"
"Teaching Content","เนื้อหาการเรียนการสอน"
"Principal Dashboard","กระดานข่าวอาจารย์"
"Teacher Dashboard","กระดานข่าวอาจารย์"
"Parent Dashboard","กระดานข่าวผู้ปกครอง"
"Teacher Details","รายละเอียดอาจารย์"
"Delete Teacher","ลบอาจารย์"
"Are you sure you want to delete this teacher account?","คุณแน่ใจหรือว่าต้องการลบบัญชีอาจารย์นี้?"
"Add Teacher","เพิ่มอาจารย์"
"Send Invitation","ส่งคำเชิญชวน"
"Delete Invoice","ลบใบแจ้งหนี้"
"Are you sure you want to delete this invoice?","คุณแน่ใจหรือไม่ว่าคุณต้องการลบใบแจ้งหนี้นี้?"
"Cancel Subscription","ยกเลิกการสมัครสมาชิก"
"Are you sure you want to cancel this subscription?","คุณแน่ใจหรือว่าต้องการยกเลิกการสมัครรับข้อมูลนี้?"
"View Sales Invoice","ดูใบแจ้งหนี้การขาย"
"To get started on using Future Lesson, you need to invite a","ในการเริ่มต้นในการใช้บทเรียน คุณจะต้องเชิญ"
"first to manage your classes.","เป็นครั้งแรกในการจัดการชั้นเรียนของคุณ"
"If you have already invited a Teacher, you need to go to the","หากคุณได้เชิญอาจารย์แล้ว คุณต้องไปที่"
"to buy seats for your classes.","ซื้อที่นั่งสำหรับชั้นเรียนของคุณ"
"You have successfully changed your password.","คุณเปลี่ยนรหัสผ่านของคุณเรียบร้อย"
"Email Confirmation Code Sent","อีเมล์ยืนยันรหัสส่งแล้ว"
"Email Confirmation Code Resent","ยืนยันอีเมล์ส่งรหัสอีกครั้ง"
"Please enter the email code to confirm your new email address.","กรุณาใส่รหัสอีเมล์เพื่อยืนยันที่อยู่อีเมล์ของคุณใหม่"
"A new email code has been sent to your email account.","รหัสอีเมลใหม่ได้รับการส่งไปยังบัญชีอีเมล์ของคุณ"
"Enter Email Confirmation Code","ใส่รหัสอีเมล์ยืนยัน"
"You have successfully confirmed your new email address.","คุณยืนยันอีเมล์ใหม่ของคุณเรียบร้อย"
"To get started on using Future Lesson, you need to add a student under a","ในการเริ่มต้นในการใช้บทเรียน คุณจะต้องเพิ่มนักเรียนภายใต้"
"To see all your students, click","หากต้องการดูนักเรียนทั้งหมดของคุณ คลิก"
"To review the lessons and practice questions, click on","เพื่อทบทวนบทเรียนและทำแบบทดสอบ ให้คลิกที่"
"View class list","รายการมุมมองห้องเรียน"
"Be right back.","เดี๋ยวกลับมา"
"We are currently undergoing maintenance.","ขณะนี้เรากำลังดำเนินการบำรุงรักษา"
"Invalid Access","การเข้าถึงที่ไม่ถูกต้อง"
"Sorry, you do not have the permission to access this page.","ขออภัย คุณไม่ได้รับอนุญาตให้เข้าถึงหน้านี้"
"Page Not Found","ไม่พบหน้านี้"
"Sorry, the page you are trying to access does not exist.","ขออภัย หน้าเว็บที่คุณกำลังพยายามที่จะเข้าถึงไม่ได้มีอยู่แล้ว"
"Click here to reset your password","คลิกที่นี่เพื่อรีเซ็ตรหัสผ่านของคุณ"
"All saved progress in","บันทึกความคืบหน้าทั้งหมดใน"
"Module has been reset by Admin.","โมดูลได้รับการตั้งค่าใหม่โดยผู้ดูแลระบบ"
"If you did not ask for this change, please contact Administrator right away.","หากคุณไม่ได้ขอเปลี่ยนแปลงนี้ โปรดติดต่อผู้ดูแลระบบได้ทันที"
"You have opt to resend your confirmation code.","คุณได้เลือกที่จะส่งรหัสยืนยันของคุณ"
"Your confirmation code","รหัสการยืนยันของคุณ"
"Link to Future Lessons","เชื่อมโยงไปยังบทเรียน"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","ขอบคุณสำหรับการร่วมงานกับเราในบทเรียนและขอแสดงความยินดีในการเป็นส่วนหนึ่งของชุมชนที่ดีที่สุดของผู้เรียนบนเว็บ! เราตั้งตารอการผจญภัยไปกับการเรียนรู้นี้อย่างไม่น่าเชื่อกับคุณ"
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","ดังนั้นบอกเราที่คุณต้องการที่จะเป็นใครเมื่อคุณโตขึ้น? แพทย์ นักบินอวกาศ นักวิทยาศาสตร์? เลือกรูปประจำตัวของคุณ"
"has requested to add you in his/her dashboard.","ได้ขอเพิ่มคุณในกระดานของเขา/เธอ"
"Please give this invitation code so that you will be added in his/her student list.","โปรดให้รหัสเชิญนี้เพื่อให้คุณจะถูกเพิ่มในรายการนักศึกษาของเขา/เธอ"
"Invitation code","รหัสเชิญ"
"would like you to join us on the Future Lesson platform. Please go to","อยากให้คุณเข้าร่วมกับเราบนแพลตฟอร์มบทเรียน กรุณาไปที่"
"Registration Page","หน้าลงทะเบียน"
"and create your profile to join this community.","และสร้างโปรไฟล์ของคุณเพื่อเข้าร่วมชุมชนนี้"
"We look forward to taking this incredible learning adventure with you and your students.","เราตั้งตารอการผจญภัยการเรียนรู้นี้อย่างไม่น่าเชื่อกับคุณและนักเรียนของคุณ"
"You have been added in","คุณได้รับการเพิ่มใน"
"by Teacher","โดยอาจารย์"
"Your Future Lesson account is now active.","บัญชีบทเรียนของคุณใช้งานได้แล้ว"
"Please go to","กรุณาไปที่"
"Login Page","หน้าเข้าสู่ระบบ"
"and login to begin your adventure on the Future Lesson platform.","และเข้าสู่ระบบเพื่อเริ่มต้นการผจญภัยของคุณบนแพลตฟอร์มบทเรียน"
"You need to update your billing information in order to proceed buying a subscription.","คุณจะต้องอัพเดตข้อมูลการเรียกเก็บเงินของคุณเพื่อดำเนินการต่อการซื้อการสมัครสมาชิก"
"Update Now","อัพเดตเลย"
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","บัญชีของคุณยังไม่ได้รับการยืนยัน โปรดตรวจสอบการลงทะเบียนและลองอีกครั้งหรือติดต่อผู้ดูแลระบบที่ help@futurelesson.com"
"Go To Registration","ไปที่ลงทะเบียน"
"You have opt to resend your confirmation code.","คุณได้เลือกที่จะส่งรหัสยืนยันของคุณ"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your student.","ขอบคุณสำหรับการร่วมงานกับเราในบทเรียนและขอแสดงความยินดีในการเป็นส่วนหนึ่งของชุมชนที่ดีที่สุดของผู้เรียนบนเว็บ! เราตั้งตารอการผจญภัยการเรียนรู้นี้อย่างไม่น่าเชื่อกับคุณและนักเรียนของคุณ"
"To start we need you to confirm with the code on the link provided below.","ในการเริ่มต้นเราต้องการให้คุณยืนยันด้วยรหัสที่ลิงค์ข้างล่างนี้"
"To start your learning we need you to confirm with the code on the link provided below.","การเริ่มต้นการเรียนรู้ของคุณเราต้องการให้คุณยืนยันด้วยรหัสที่ลิงค์ข้างล่างนี้"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","ขอบคุณสำหรับการร่วมงานกับเราในบทเรียนและขอแสดงความยินดีในการเป็นส่วนหนึ่งของชุมชนที่ดีที่สุดของผู้เรียนบนเว็บ! เราตั้งตารอการผจญภัยการเรียนรู้นี้อย่างไม่น่าเชื่อกับคุณและบุตรหลานของคุณ"
"has assigned you to","ได้มอบหมายให้คุณ"
"to teach. You may now start adding your students to your class.","สอน ตอนนี้คุณสามารถเริ่มต้นการเพิ่มนักเรียนในชั้นเรียนของคุณ"
"to login.","เข้าสู่ระบบ"
"to create your profile to join this community and set-up your classroom.","สร้างโปรไฟล์ของคุณเพื่อเข้าร่วมชุมชนนี้และการตั้งค่าห้องเรียนของคุณ"
"Your password has been reset. Your new password is","รหัสผ่านของคุณได้รับการตั้งค่าใหม่ รหัสผ่านใหม่ของคุณคือ"
"If you did not request for this, please contact the administrator right away.","หากคุณไม่ได้ร้องขอ โปรดติดต่อผู้ดูแลระบบได้ทันที"
"Your email has been changed from","อีเมล์ของคุณได้รับการเปลี่ยนจาก"
"You can now use this email in your","คุณสามารถใช้อีเมล์นี้ใน"
"Your Picture Password has been saved.","รหัสผ่านภาพของคุณได้รับการบันทึก"
"You may now use this picture password in your succeeding login.","ตอนนี้คุณอาจจะใช้รหัสผ่านภาพนี้ในการเข้าสู่ระบบของคุณ"
"Change Picture Password","เปลี่ยนรหัสผ่านรูปภาพ"
"Please enter the email confirmation code to verify your new email address.","กรุณาใส่รหัสยืนยันทางอีเมล์เพื่อยืนยันที่อยู่อีเมล์ใหม่ของคุณ"
"The email contains an email code that you need to input below.","อีเมล์ที่ประกอบด้วยรหัสอีเมล์ที่คุณจำเป็นต้องป้อนข้อมูลด้านล่าง"
"Please Select Your Picture Password","กรุณาเลือกรหัสผ่านภาพของคุณ"
"You have no available subjects.","คุณไม่มีรายวิชาที่สามารถใช้งานได้"
"You need a Teacher to add you to a Class.","คุณต้องการอาจารย์ที่เพิ่มให้คุณในชั้นเรียน"
"You can have your Parent buy you a subscription.","คุณสามารถมีผู้ปกครองของคุณที่จะซื้อการสมัครสมาชิก"
"You can proceed to","คุณสามารถดำเนินการต่อไป"
"Student Payment","การชำระเงินนักศึกษา"
"page.","หน้า"
"Please enter the reset code to create your new picture password.","กรุณาใส่รหัสตั้งค่าเพื่อสร้างรหัสรูปภาพใหม่ของคุณ"
"A new email to reset your picture password has been sent to your email account.","อีเมล์ใหม่เพื่อรีเซ็ตรหัสผ่านภาพของคุณได้ถูกส่งไปยังบัญชีอีเมล์ของคุณ"
"Please enter the confirmation code to verify your email address and to setup your new picture password.","กรุณาใส่รหัสยืนยันเพื่อยืนยันที่อยู่อีเมล์ของคุณและการตั้งค่ารหัสผ่านภาพใหม่ของคุณ"
"FUTUREED PRIVACY POLICY","นโยบายความเป็นส่วนตัว FUTUREED"
"What information do we collect?","เราจะเก็บรวบรวมข้อมูลอะไร?"
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","เราเก็บรวบรวมข้อมูลจากคุณเมื่อคุณลงทะเบียนในเว็บไซต์ของเรา สั่งซื้อสินค้า ตอบสนองต่อการสำรวจหรือการประเมินหรือกรอกแบบฟอร์ม เมื่อสั่งซื้อหรือการลงทะเบียนบนเว็บไซต์ของเราตามความเหมาะสมคุณอาจจะขอให้ใส่ชื่อที่อยู่อีเมล์ของคุณที่อยู่วันเดือนปีเกิด รายชื่อ บริษัท ชื่อหมายเลขโทรศัพท์หรือบัตรประจำตัว / หมายเลขหนังสือเดินทางทาง รหัสไปรษณีย์ อย่างไรก็ตามคุณสามารถเยี่ยมชมเว็บไซต์ของเราโดยไม่ระบุชื่อ"
"What do we use your information for?","เราทำอะไรกับข้อมูลของคุณ?"
"Any of the information we collect from you may be used in one of the following ways:","ข้อมูลที่เรารวบรวมจากคุณอาจจะถูกใช้วิธีใดวิธีหนึ่งดังต่อไปนี้:"
"To assist us to create an account for your use and for administration of our products","เพื่อช่วยให้เราสามารถสร้างบัญชีสำหรับการใช้งานของคุณและการบริหารงานของผลิตภัณฑ์ของเรา"
"To assist us in resolving any of your technical or content or questions you may have about our products and services","เพื่อช่วยเราในการแก้ปัญหาใดๆ หรือเนื้อหาทางเทคนิคของคุณหรือคำถามที่คุณอาจมีเกี่ยวกับผลิตภัณฑ์และบริการของเรา"
"To personalize your experience (your information helps us to better respond to your individual needs)","เพื่อปรับแต่งประสบการณ์ของคุณ (ข้อมูลของคุณจะช่วยให้เราดีขึ้นเพื่อตอบสนองความต้องการเฉพาะของคุณ)"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","ในการปรับปรุงเว็บไซต์ของเรา (เราทำอย่างต่อเนื่อง มุ่งมั่นที่จะปรับปรุงการให้บริการเว็บไซต์ของเราขึ้นอยู่กับข้อมูลและข้อเสนอแนะที่เราได้รับจากคุณ)"
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","ปรับปรุงการบริการลูกค้า (ข้อมูลของคุณช่วยให้เราได้อย่างมีประสิทธิภาพมากขึ้นตอบสนองการร้องขอบริการลูกค้าของคุณและความต้องการการสนับสนุน)"
"To process transactions","การประมวลผลการทำธุรกรรม"
"To administer a contest, promotion, survey or other site feature","ในการจัดการประกวดการส่งเสริมการสำรวจหรือคุณลักษณะเว็บไซต์อื่นๆ"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","เพื่อส่งอีเมล์ ที่อยู่อีเมล์ของคุณให้สำหรับการประมวลผลเพื่อจะนำไปใช้ในการส่งข้อมูลและการปรับปรุงเกี่ยวกับการสั่งซื้อของคุณนอกเหนือจากการได้รับข่าวบริษัทปรับปรุงผลิตภัณฑ์หรือบริการที่เกี่ยวข้องกับข้อมูลเป็นครั้งคราวอื่นๆ หมายเหตุ: ถ้าเมื่อใดก็ตามที่คุณต้องการ ยกเลิกการสมัครรับอีเมลในอนาคตเรามีคำแนะนำยกเลิกการเป็นสมาชิกรายละเอียดที่ด้านล่างของอีเมลแต่ละ."
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","ข้อมูลของคุณไม่ว่าจะเป็นภาครัฐหรือเอกชนจะไม่ถูกขายแลกเปลี่ยนโอนหรือมอบให้กับบริษัทอื่นๆด้วยเหตุผลใดๆ ก็ตามโดยปราศจากความยินยอมของคุณนอกเหนือจากความประสงค์ที่จะส่งมอบผลิตภัณฑ์ที่จัดซื้อหรือการบริการที่ร้องขอ"
"How do we protect your information?","เราจะปกป้องข้อมูลของคุณอย่างไร?"
"We implement a variety of security measures to maintain the safety of your personal information when you place an order or enter, submit, or access your personal information.","เราใช้ความหลากหลายของมาตรการรักษาความปลอดภัยในการรักษาความปลอดภัยของข้อมูลส่วนบุคคลของคุณเมื่อคุณสั่งซื้อสินค้า ป้อนส่งหรือเข้าถึงข้อมูลส่วนบุคคลของคุณ"
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential.","เรานำเสนอการใช้งานของเซิร์ฟเวอร์ที่เชื่อถือได้ของเรา จัดมาให้ข้อมูลที่สำคัญ / เครดิตทั้งหมดจะถูกส่งผ่านเทคโนโลยี Secure Socket Layer (SSL) และการเข้ารหัสแล้วเข้าไปในการชำระเงินฐานข้อมูลผู้ให้บริการเกตเวย์ของเราเท่านั้นที่จะสามารถเข้าถึงได้โดยผู้ที่ได้รับอนุญาตมีสิทธิเข้าถึงพิเศษกับระบบดังกล่าวและจะต้องเก็บข้อมูลที่เป็นความลับ"
"After a transaction, your private information (credit cards, social security numbers, financials, etc.) will not be kept on file for more than 60 days.","หลังจากการทำธุรกรรมข้อมูลส่วนตัวของคุณ (บัตรเครดิตหมายเลขประกันสังคม, การเงิน, ฯลฯ) จะไม่ถูกเก็บไว้ในไฟล์นานกว่า 60 วัน"
"Do we use cookies?","เราใช้คุกกี้?"
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","ใช่ (คุกกี้เป็นไฟล์ขนาดเล็กที่เว็บไซต์หรือการโอนเงินผ่านผู้ให้บริการกับคอมพิวเตอร์ของคุณฮาร์ดไดรฟ์ผ่านเว็บเบราว์เซอร์ของคุณ (หากคุณอนุญาต) ที่ช่วยให้เว็บไซต์หรือระบบผู้ให้บริการในการรับรู้และการจับภาพเบราว์เซอร์ของคุณและจำข้อมูลบางอย่าง"
"We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future. We may contract with third-party service providers to assist us in better understanding our site visitors. These service providers are not permitted to use the information collected on our behalf except to help us conduct and improve our business.","เราใช้คุกกี้เพื่อช่วยให้เราจำและประมวลผลรายการสินค้าในตะกร้าช้อปปิ้งของคุณเข้าใจและบันทึกการตั้งค่าของคุณสำหรับการเข้าชมในอนาคตและรวบรวมข้อมูลโดยรวมเกี่ยวกับการเข้าชมเว็บไซต์และการมีปฏิสัมพันธ์เว็บไซต์เพื่อให้เราสามารถนำเสนอประสบการณ์ที่ดีกว่าเว็บไซต์และเครื่องมือในอนาคต เราอาจทำสัญญากับผู้ให้บริการของบุคคลที่สามที่จะช่วยให้เราทำความเข้าใจกับผู้เข้าชมเว็บไซต์ของเรา ผู้ให้บริการเหล่านี้ไม่ได้รับอนุญาตให้ใช้ข้อมูลที่เก็บรวบรวมในนามของเรานอกจากจะช่วยให้เราดำเนินการและปรับปรุงธุรกิจของเรา"
"If you prefer, you can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies via your browser settings. Like most websites, if you turn your cookies off, some of our services may not function properly. However, you can still place orders over the telephone or by contacting customer service.","หากคุณต้องการคุณสามารถเลือกที่จะมีเครื่องคอมพิวเตอร์ของคุณเตือนคุณทุกครั้งที่คุกกี้ถูกส่งหรือคุณสามารถเลือกที่จะปิดคุกกี้ทั้งหมดผ่านการตั้งค่าเบราว์เซอร์ของคุณ เช่นเดียวกับเว็บไซต์มากที่สุดหากคุณเปิดคุกกี้ของคุณปิดบางส่วนของการบริการของเราอาจไม่ทำงานอย่างถูกต้อง แต่คุณยังสามารถสั่งซื้อสินค้าผ่านทางโทรศัพท์หรือโดยการบริการลูกค้าที่ติดต่อ"
"Do we disclose any information to outside parties?","เราจะเปิดเผยข้อมูลใดๆ ให้แก่บุคคลภายนอกหรือไม่?"
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.","เราไม่ขาย แลกเปลี่ยนหรือโอนให้แก่บุคคลภายนอกกับข้อมูลส่วนบุคคลของคุณ นี้ไม่รวมถึงบุคคลที่สามที่เชื่อถือได้ที่ช่วยเราในการดำเนินงานเว็บไซต์ของเราดำเนินธุรกิจของเราหรือบริการคุณดังนั้นตราบใดที่บุคคลเหล่านั้นเห็นด้วยกับการเก็บข้อมูลนี้เป็นความลับ นอกจากนี้เรายังอาจปล่อยข้อมูลของคุณเมื่อเราเชื่อว่าการเปิดตัวมีความเหมาะสมเพื่อให้สอดคล้องกับกฎหมายที่บังคับใช้นโยบายเว็บไซต์ของเราหรือปกป้องเราหรือคนอื่นๆ สิทธิทรัพย์สินหรือความปลอดภัย อย่างไรก็ตามข้อมูลของผู้เข้าชมที่ไม่ระบุตัวบุคคลอาจจะให้แก่บุคคลอื่นสำหรับการตลาด การโฆษณา หรือใช้งานอื่นๆ"
"Third party links","การเชื่อมโยงของบุคคลที่สาม"
"Occasionally, at our discretion, we may include or offer third party products or services on our website. These third party sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our site and welcome any feedback about these sites.","บางครั้งขึ้นอยู่กับดุลยพินิจของเรา เราอาจรวมหรือนำเสนอผลิตภัณฑ์ของบุคคลที่สามหรือบริการบนเว็บไซต์ของเรา เว็บไซต์เหล่านี้บุคคลที่สามที่มีนโยบายความเป็นส่วนตัวและเป็นอิสระแยกจากกัน ดังนั้นเราจึงมีความรับผิดชอบหรือไม่รับผิดสำหรับเนื้อหาและกิจกรรมของเว็บไซต์ที่เชื่อมโยงเหล่านี้ อย่างไรก็ตามเราพยายามที่จะปกป้องความสมบูรณ์ของเว็บไซต์ของเราและยินดีต้อนรับความคิดเห็นใดๆ เกี่ยวกับเว็บไซต์เหล่านี้"
"Singapore Data Protection Act","พระราชบัญญัติคุ้มครองข้อมูลสิงคโปร์"
"We are in compliance with the requirements of the Singapore Personal Data Collection Act. We adhere to the 9 data protection obligations of the Personal Data Collection Act namely; Consent Obligation; Purpose Limitation Obligation; Notification Obligation; Access & Correction Obligation; Accuracy Obligation; Protection Obligation; Retention Limitation Obligation; Transfer Limitation Obligation and Openness Obligation.","เราอยู่ในการปฏิบัติตามข้อกำหนดของพระราชบัญญัติสิงคโปร์ส่วนบุคคลการเก็บรวบรวมข้อมูล เรายึดมั่นในภาระหน้าที่ป้องกันข้อมูล 9 แห่งพระราชบัญญัติข้อมูลส่วนบุคคลการเก็บคือ; ได้รับความยินยอมรับผิดชอบ; วัตถุประสงค์ข้อจำกัดความรับผิดชอบ; รับผิดชอบการแจ้งเตือน การเข้าถึงและการแก้ไขความรับผิดชอบ; ความรับผิดชอบความถูกต้อง คุ้มครองความรับผิดชอบ; การเก็บรักษาข้อจำกัดความรับผิดชอบ; ข้อจำกัด ในการถ่ายโอนความรับผิดชอบและการเปิดกว้างความรับผิดชอบ"
"Online Privacy Policy Only","นโยบายความเป็นส่วนตัวออนไลน์เท่านั้น"
"This online privacy policy applies only to information collected through our website and not to information collected offline","นโยบายความเป็นส่วนตัวออนไลน์นี้ใช้เฉพาะกับข้อมูลที่เก็บรวบรวมผ่านเว็บไซต์ของเราและไม่ให้ข้อมูลที่เก็บรวบรวมแบบออฟไลน์"
"Your Consent","ความยินยอมของคุณ"
"By using our site, you consent to our websites privacy policy.","โดยใช้เว็บไซต์ของเราคุณยินยอมที่จะนโยบายเว็บไซต์ส่วนตัวของเรา"
"Contacting Us","การติดต่อกับเรา"
"If there are any questions regarding this policy you may contact us using the information below.","หากมีข้อสงสัยใดๆ เกี่ยวกับนโยบายนี้คุณสามารถติดต่อเราโดยใช้ข้อมูลด้านล่างนี้"
"FUTUREED CANDIDATE TERMS AND CONDITIONS","ข้อกำหนดและเงื่อนไข FUTUREED"
"Thank you for choosing Futureed Pte Ltd. We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner. To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way. These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","ขอขอบคุณที่เลือก Futures Pte Ltd สำหรับความต้องการของคุณประเมิน เราตั้งใจที่จะให้ให้คุณมีผลิตภัณฑ์ที่ดีที่สุดในอุตสาหกรรมที่มีคุณภาพสูง แข่งขันทางราคาได้ ความน่าเชื่อถือ เพื่อให้บรรลุเป้าหมายที่เราต้องการที่จะทำข้อตกลงทางกฎหมายบางอย่างเพื่อให้มั่นใจว่าบริการของเราจะถูกนำมาใช้ในทางที่เหมาะสม ปลอดภัยและถูกต้องตามกฎหมาย ข้อตกลงเหล่านี้อาจได้รับการปรับปรุงเป็นครั้งคราว เมื่อมีการปรับเปลี่ยนข้อตกลงเหล่านี้ จะมีการแจ้งให้ทราบ"
"Introduction","บทแนะนำ"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessment platform for assessment tools to remotely test candidates on areas of psychometric abilities and personality. The two entities are used interchangeably for legal purposes. By registering to use Futureed Pte Ltd, you are consenting to the terms and conditions as follows in this agreement. We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd เปิดใช้งานได้โดย Kosh Consulting Group (Asia) Pte Ltd (KCGA) ให้เครื่องมือการประเมินออนไลน์จากระยะไกลผู้สมัครทดสอบในพื้นที่ที่มีความสามารถทางจิตวิทยาและบุคลิกภาพ ทั้งสองหน่วยงานจะใช้สลับกันเพื่อวัตถุประสงค์ทางกฎหมาย โดยการลงทะเบียนใช้ Futureed คุณจะให้ความยินยอมในข้อกำหนดและเงื่อนไขดังต่อไปนี้ในข้อตกลงนี้ เรายังมีนโยบายความเป็นส่วนตัวที่คุณสามารถค้นหาบนเว็บไซต์ของเรา"
