"DO NOT EDIT","Bahasa Malaysia"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","SETAKAT MAKSIMUM YANG DIBENARKAN OLEH UNDANG-UNDANG, ANDA TIDAK AKAN MEMBAWA, PERMINTAAN, JOIN, ATAU MENYERTAI KELAS TINDAKAN ATAU KELAS TIMBANGTARA PROSIDING TERHADAP SEBARANG TUNTUTAN, PERMINTAAN, SUIT ATAU SEBAB TINDAKAN ANDA MUNGKIN ADA TERHADAP KCGA, FUTUREED PTE LTD TIMBUL DARIPADA, BERKAITAN ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN LAMAN FUTUREED PTE LTD, PENGGUNAAN LAMAN FUTUREED PTE LTD, ATAU MANA-MANA UJIAN ATAU PRODUK ATAU PERKHIDMATAN LAIN YANG DIPEROLEHI MELALUI LAMAN FUTUREED PTE LTD, DAN ANDA MENGETEPIKAN DAN MELEPASKAN SEBARANG HAK ANDA MUNGKIN SEKARANG ATAU MASA DEPAN PERLU BAWA, PERMINTAAN, JOIN ATAU MENYERTAI SEBARANG TUNTUTAN MAHKAMAH ATAU PENIMBANGTARAAN ATAU PROSIDING LAIN ATAS TINDAKAN KELAS ATAU ASAS CONSOLIDATED ATAU MENYERTAI SEBAGAI WAKIL ATAU AHLI SEBARANG KELAS MENUNTUT BAB SEBARANG TUNTUTAN, PERMINTAAN, SUIT ATAU PUNCA TINDAKAN YANG TIMBUL DARIPADA, BERKAITAN ATAU APA-APA CARA SEKALIPUN BERKAITAN DENGAN PENGGUNAAN LAMAN FUTUREED PTE LTD, ATAU MANA-MANA UJIAN ATAU PRODUK ATAU PERKHIDMATAN YANG DIPEROLEHI MELALUI LAMAN FUTUREED PTE LTD. PERUNTUKAN INI TIDAK MEMBENTUK A PENEPIAN SEBARANG HAK DAN REMEDI ANDA UNTUK MEMBUAT TUNTUTAN SECARA INDIVIDU DAN TIDAK PADA TINDAKAN KELAS, KELAS TIMBANG TARA ATAU ASAS CONSOLIDATED ATAU SEBAGAI WAKIL ATAU AHLI SEBARANG KELAS PIHAK YANG MENUNTUT."
"Severability","Kebolehasingan"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","Sekiranya mana-mana satu atau lebih peruntukan ini harus tidak dijadikan sah, menyalahi undang-undang atau tidak boleh dikuatkuasakan, peruntukan tersebut akan diubah, jika boleh, sampai tahap minimum yang  diperlukan untuk menjadikan mereka sah dan boleh dikuatkuasakan, atau jika mereka tidak boleh diubah, maka boleh dipisahkan dan peruntukan yang masih terkandung di dalam ini tidak akan terjejas atau terjejas dalam apa jua cara."
"Jurisdiction and Governing Law","Bidang Kuasa dan Undang-undang"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","Kesahan, pembentukan, penguatkuasaan dan tafsiran Terma dan Syarat Penggunaan ini adalah ditadbir oleh undang-undang Singapura."
"Waiver","Penepian, "
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Kegagalan OCGA untuk menguatkuasakan mana-mana pelaksanaan Syarat ini tidak membentuk penepian hak untuk menguatkuasakan peruntukan tersebut."
"Your Consent","Persetujuan anda"
"By using our site, you consent to our terms and conditions as written in this agreement.","Dengan melayari laman web kami, anda bersetuju kepada terma dan syarat seperti yang termaktub dalam perjanjian ini."
"Contacting Us","Hubungi Kami"
"If there are any questions regarding this policy you may contact us using the information below.","Jika terdapat sebarang soalan mengenai dasar ini anda boleh menghubungi kami dengan menggunakan maklumat di bawah."
"To get started on using Future Lesson, you need to add a student, click","Untuk memulakan penggunaan Pengajaran Masa Hadapan, anda perlu menambah seorang pelajar, klik, "
"If you already added a Student, you can","Jika anda telah menambah seorang Pelajar, anda boleh"
"buy a subject","membeli subjek"
"for the your student","untuk pelajar anda"
"You can also","Anda juga boleh"
"review","semakan"
"the lessons and practice questions.","Soalan Pelajaran dan Amalan."
"Progress in Future Lesson Curriculum","Kemajuan dalam Pelajaran Kurikulum Masa Hadapan"
"Progress in Future Lesson Curriculum","Kemajuan dalam Pelajaran Kurikulum Masa Hadapan"
"Badges Earned","Lencan yang Diperolehi"
"Number of Medals Earned","Bilangan Pingat yang Diperolehi"
"Lessons Completed","Pelajaran yang Disiapkan"
"Tips Written","Tips Bertulis"
"Hours Spent in Last 7 Days","Waktu yang Digunakan dalam 7 Hari yang Lepas"
"Hours Spend","Waktu yang Digunakan"
"Invitation Code","Kod Jemputan"
"The student you have added will be receiving an email containing the code.","Pelajar yang anda telah menambah akan menerima e-mel yang mengandungi kod."
"Please get this code from the student and input it on the field above.","Sila dapatkan kod ini daripada pelajar dan masukkan di medan di atas."
"You can also confirm the invitation code in viewing the student details.","Anda juga boleh mengesahkan kod jemputan untuk melihat butiran pelajar."
"Teaching Content","Kandungan Pengajaran"
"Principal Dashboard","Papan Pemuka Utama"
"Teacher Dashboard","Papan Pemuka Guru"
"Parent Dashboard","Papan Pemuka Ibu Bapa"
"Teacher Details","ButiranGuru Guru"
"Delete Teacher","Padam Guru"
"Are you sure you want to delete this teacher account?","Adakah anda pasti anda mahu memadam akaun guru ini ?"
"Add Teacher","Tambahkan Guru"
"Send Invitation","Hantar Jemputran"
"Delete Invoice","Padam Invois"
"Are you sure you want to delete this invoice?","Adakah anda pasti anda mahu memadam invois ini?"
"Cancel Subscription","Batalkan Langganan"
"Are you sure you want to cancel this subscription?","Adakah anda pasti anda mahu membatalkan langganan ini?"
"View Sales Invoice","Lihat Invois Jualan"
"To get started on using Future Lesson, you need to invite a","Untuk memulakan penggunaa Pelajaran Masa Hadapan, anda perlu menjemput"
"first to manage your classes.","pertama untuk menguruskan kelas anda."
"If you have already invited a Teacher, you need to go to the","Jika anda telah menjemput Guru, anda perlu pergi ke"
"to buy seats for your classes.","untuk membeli kerusi untuk kelas anda."
"You have successfully changed your password.","Anda telah berjaya menukar kata laluan anda."
"Email Confirmation Code Sent","Kod Pengesahan E-mel telah dihantar"
"Email Confirmation Code Resent","Kod Pengesahan E-mel Dihantar Semula"
"Please enter the email code to confirm your new email address.","Sila masukkan kod e-mel untuk mengesahkan alamat e-mel baru anda."
"A new email code has been sent to your email account.","Satu kod e-mel baru telah dihantar ke akaun e-mel anda."
"Enter Email Confirmation Code","Masukkan Kod Pengesahan E-mel"
"You have successfully confirmed your new email address.","Anda telah berjaya mengesahkan alamat e-mel baru anda."
"To get started on using Future Lesson, you need to add a student under a","Untuk memulakan penggunaan Pelajaran Masa Depan, anda perlu menambah pelajar di bawah"
"To see all your students, click","Untuk melihat semua pelajar anda, klik"
"To review the lessons and practice questions, click on","Untuk menyemak pelajaran dan soalan amalan, klik pada"
"View class list","Lihat Senarai Kelas"
"Be right back.","Akan kembali."
"We are currently undergoing maintenance.","Kami sedang menjalani penyelenggaraan."
"Invalid Access","Akses Tidak Sah"
"Sorry, you do not have the permission to access this page.","Minta Maaf, anda tidak mempunyai kebenaran untuk mengakses halaman ini."
"Page Not Found","Halaman Tidak Dijumpai"
"Sorry, the page you are trying to access does not exist.","Maaf, halaman yang anda cuba mengakses tidak wujud."
"Click here to reset your password","Klik sini untuk menetapkan semula kata laluan anda"
"All saved progress in","Semua kemajuan yang disimpan dalam"
"Module has been reset by Admin.","Modul telah ditetapkan semula oleh Pentadbir."
"If you did not ask for this change, please contact Administrator right away.","Jika anda tidak meminta untuk perubahan ini, sila hubungi Pentadbir segera."
"You have opt to resend your confirmation code.","Anda telah memilih untuk menghantar semula kod pengesahan anda."
"Your confirmation code","Kod pengesahan anda"
"Link to Future Lessons","Pautan ke Pengajaran Masa Depan"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","Terima kasih untuk menyertai kami di Pelajaran Masa Depan dan tahniah untuk menjadi sebahagian daripada komuniti pelajar yang paling hebat di web ini! Kami berharap untuk mengambil pengembaraan pembelajaran yang luar biasa dengan anda dan pelajar anda."
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","Jadi beritahu kita, yang akan anda mahu menjadi apabila anda membesar? Seorang doktor, angkasawan, ahli sains? Pilihkan Avatar anda"
"has requested to add you in his/her dashboard.","telah meminta untuk menambah anda ke dalam papan pemukanya."
"Please give this invitation code so that you will be added in his/her student list.","Sila berikan kod jemputan ini supaya anda akan ditambah dalam senarai pelajarnya."
"Invitation code","Kod Jemputan"
"would like you to join us on the Future Lesson platform. Please go to","inginkan anda untuk menyertai kami di platform Pelajaran Masa Depan. Sila pergi ke"
"Registration Page","Halaman Pendaftaran"
"and create your profile to join this community.","dan mewujudkan profil anda untuk menyertai komuniti ini."
"We look forward to taking this incredible learning adventure with you and your students.","Kami berharap untuk mengambil pengembaraan pembelajaran yang luar biasa dengan anda dan pelajar anda."
"You have been added in","Anda telah ditambah ke dalam"
"by Teacher","oleh Guru"
"Your Future Lesson account is now active.","Akaun Pelajaran Masa Depan anda aktif sekarang."
"Please go to","Sila pergi ke"
"Login Page","Halaman Log Masuk"
"and login to begin your adventure on the Future Lesson platform.","dan log masuk untuk memulakan pengembaraan anda di platform Pelajaran Masa Depan."
"You need to update your billing information in order to proceed buying a subscription.","Anda perlu mengemas kini maklumat bil anda untuk meneruskan pembelian langganan."
"Update Now","Kemas Kini Sekarang"
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","Akaun anda belum disahkan, sila semak pendaftaran anda dan cuba lagi atau hubungi pentadbir sistem di help@futurelesson.com."
"Go To Registration","Pergi ke Pendaftaran"
"You have opt to resend your confirmation code.","Anda telah memilih untuk menghantar semula kod pengesahan anda."
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your student.","Terima kasih untuk menyertai kami di Pelajaran Masa Depan dan tahniah untuk menjadi sebahagian daripada komuniti pelajar yang paling hebat di web ini! Kami berharap untuk mengambil pengembaraan pembelajaran yang luar biasa dengan anda dan pelajar anda."
"To start we need you to confirm with the code on the link provided below.","Untuk bermula kami memerlukan anda untuk mengesahkan dengan kod pada link yang disediakan di bawah."
"To start your learning we need you to confirm with the code on the link provided below.","Untuk memulakan pembelajaran anda kami memerlukan anda untuk mengesahkan dengan kod pada link yang disediakan di bawah."
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","Terima kasih untuk menyertai kami di Pelajaran Masa Depan dan tahniah untuk menjadi sebahagian daripada komuniti pelajar yang paling hebat di web ini! Kami berharap untuk mengambil pengembaraan pembelajaran yang luar biasa dengan anda dan anak anda."
"has assigned you to","anda telah diberikan tugas untuk"
"to teach. You may now start adding your students to your class.","untuk mengajar. Anda kini boleh mula menambah pelajar anda ke dalam kelas anda."
"to login.","untuk log masuk."
"to create your profile to join this community and set-up your classroom.","untuk mencipta profil anda untuk menyertai komuniti ini dan menubuhkan kelas anda."
"Your password has been reset. Your new password is","Kata laluan anda telah ditetapkan semula. Kata laluan baru anda adalah"
"If you did not request for this, please contact the administrator right away.","Jika anda tidak meminta untuk ini, sila hubungi pentadbir segera."
"Your email has been changed from","E-mel anda telah diubah dari"
"You can now use this email in your","Anda kini boleh menggunakan e-mel ini dalam anda"
"Your Picture Password has been saved.","Kata Laluan Gambar anda telah disimpan."
"You may now use this picture password in your succeeding login.","Anda kini boleh menggunakan kata laluan gambar ini dalam log masuk berjaya anda."
"Change Picture Password","Tukar Kata Laluan Gambar"
"Please enter the email confirmation code to verify your new email address.","Sila masukkan kod pengesahan e-mel untuk mengesahkan alamat e-mel baru anda."
"The email contains an email code that you need to input below.","E-mel ini mengandungi kod e-mel yang anda perlu masukkan di bawah."
"Please Select Your Picture Password","Sila Pilih Kata Laluan Gambar Anda"
"You have no available subjects.","Anda tidak mempunyai subjek."
"You need a Teacher to add you to a Class.","Anda memerlukan seorang Guru untuk menambah anda ke Kelas."
"You can have your Parent buy you a subscription.","Anda boleh meminta Ibu Bapa anda untuk membeli langganan."
"You can proceed to","Anda boleh meneruskan ke"
"Student Payment","Pembayaran Pelajar. "
"page.","halaman."
"Please enter the reset code to create your new picture password.","Sila masukkan kod penetapan semula untuk mewujudkan kata laluan gambar baru anda."
"A new email to reset your picture password has been sent to your email account.","Satu e-mel baru untuk menetapkan semula kata laluan gambar anda telah dihantar ke akaun e-mel anda."
"Please enter the confirmation code to verify your email address and to setup your new picture password.","Sila masukkan kod pengesahan untuk mengesahkan alamat e-mel anda dan menyediakan kata laluan gambar baru anda."
"FUTUREED PRIVACY POLICY","DASAR PRIVASI FUTUREED"
"What information do we collect?","Apakah maklumat yang kami kumpulkan?"
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","Kami mengumpul maklumat daripada anda apabila anda mendaftar di laman web kami, membuat pesanan, bertindak balas kepada kaji selidik atau penilaian atau mengisi borang. Apabila membuat pesanan atau mendaftar di laman web kami, sebagaimana yang sesuai, anda mungkin akan diminta untuk memasukkan nama anda, alamat e-mel, alamat, tarikh lahir, kenalan, syarikat, tajuk, nombor telefon atau pengenalan / nombor pasport. Anda boleh, bagaimanapun, sila layari laman web kami tanpa nama."
"What do we use your information for?","Apa yang kami menggunakan maklumat anda untuk?"
"Any of the information we collect from you may be used in one of the following ways:","Sebarang maklumat yang kami kumpulkan daripada anda boleh digunakan dalam salah satu daripada cara berikut:"
"To assist us to create an account for your use and for administration of our products","Untuk membantu kita untuk membuat akaun untuk kegunaan anda dan bagi Pentadbir produk kami"
"To assist us in resolving any of your technical or content or questions you may have about our products and services","Untuk membantu kami menyelesaikan sebarang kandungan atau soalan atau teknikal yang anda ada mengenai produk dan perkhidmatan kami"
"To personalize your experience (your information helps us to better respond to your individual needs)","Untuk memperibadikan pengalaman anda (maklumat anda membantu kami untuk bertindak balas kepada keperluan individu anda dengan lebih baik)"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","Untuk menambahbaik laman web kami (kami sentiasa berusaha untuk menambahbaik penawaran laman web kami berdasarkan maklumat dan maklum balas yang kami menerima daripada anda)"
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","Untuk meningkatkan perkhidmatan pelanggan (maklumat anda membantu kami untuk lebih berkesan bertindak balas kepada permintaan perkhidmatan dan keperluan sokongan pelanggan)"
"To process transactions","Memproses transaksi"
"To administer a contest, promotion, survey or other site feature","Mentadbir pertandingan, promosi, kaji selidik atau ciri laman web yang lain"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","Untuk menghantar e-mel secara berkala. Alamat e-mel yang anda berikan untuk pemprosesan pesanan, boleh digunakan untuk menghantar maklumat dan kemas kini yang berkaitan dengan pesanan anda, di samping menerima sekala maklumat berita syarikat, kemas kini, produk atau perkhidmatan yang berkaitan, dan lain-lain Nota: Jika pada bila-bila masa yang anda mahu berhenti melanggan daripada menerima e-mel future, kita termasuk arahan berhenti langganan secara terperinci di bahagian bawah setiap e-mel."
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","Maklumat anda, sama ada awam atau swasta, tidak akan dijual, ditukar, dipindahkan, atau diberikan kepada mana-mana syarikat lain untuk apa-apa sebab sekalipun, tanpa persetujuan anda, selain daripada tujuan menyampaikan produk atau perkhidmatan yang dibeli diminta."
"How do we protect your information?","Bagaimana kita melindungi maklumat anda?"
"We implement a variety of security measures to maintain the safety of your personal information when you place an order or enter, submit, or access your personal information.","Kami melaksanakan pelbagai langkah-langkah keselamatan untuk menjaga keselamatan maklumat peribadi anda apabila anda membuat pesanan atau memasukkan, menghantar, atau mengakses maklumat peribadi anda."
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential.","Kami menawarkan penggunaan pelayan yang selamat. Semua maklumat sensitif/kredit yang dibekalkan  akan dihantar melalui teknologi Secure Socket Layer (SSL) dan kemudian disulitkan ke dalam pangkalan data pembekal kami gerbang Bayaran hanya boleh diakses oleh mereka yang diberi kuasa dengan hak akses khas kepada sistem tersebut, dan dikehendaki untuk menyimpan maklumat secara sulit."
"After a transaction, your private information (credit cards, social security numbers, financials, etc.) will not be kept on file for more than 60 days.","Selepas transaksi, maklumat peribadi anda (kad kredit, nombor keselamatan sosial, kewangan, dan lain-lain) tidak akan disimpan dalam fail melebihi 60 hari."
"Do we use cookies?","Adakah kita menggunakan cookies?"
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","Ya (Cookies adalah fail kecil yang dihantar oleh pembekal perkhidmatan cakera keras komputer anda melalui pelayar web anda (jika anda membenarkan) yang membolehkan laman web atau sistem pembekal perkhidmatan untuk mengenali pelayar anda dan menangkap dan ingatkan maklumat tertentu"
"We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future. We may contract with third-party service providers to assist us in better understanding our site visitors. These service providers are not permitted to use the information collected on our behalf except to help us conduct and improve our business.","Kami menggunakan cookies untuk membantu kita untuk mengingati dan memproses item dalam troli membeli-belah anda, memahami dan menyimpan pilihan anda pada masa hadapan dan menyusun data agregat tentang trafik laman web dan interaksi tapak supaya kita boleh menawarkan tapak pengalaman yang lebih baik dan alat-alat pada masa hadapan. Kami boleh berkontrak dengan pembekal perkhidmatan pihak ketiga untuk membantu kami memahami pengunjung laman web kami lebih baik. Pembekal perkhidmatan ini tidak dibenarkan untuk menggunakan maklumat yang dikumpulkan bagi pihak kami kecuali untuk membantu kami menjalankan dan meningkatkan perniagaan kami."
"If you prefer, you can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies via your browser settings. Like most websites, if you turn your cookies off, some of our services may not function properly. However, you can still place orders over the telephone or by contacting customer service.","Jika anda mahu, anda boleh memilih untuk mempunyai komputer anda memberi amaran kepada anda setiap kali cookie sedang dihantar, atau anda boleh memilih untuk mematikan semua cookies melalui tetapan pelayar anda. Seperti kebanyakan laman web, jika anda menghidupkan kuki anda di luar, beberapa perkhidmatan kami mungkin tidak berfungsi dengan betul. Walau bagaimanapun, anda masih boleh membuat pesanan melalui telefon atau dengan perkhidmatan pelanggan."
"Do we disclose any information to outside parties?","Adakah kita mendedahkan apa-apa maklumat kepada pihak luar?"
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.","Kami tidak menjual, perdagangan, atau selainnya memindahkan kepada pihak luar maklumat peribadi anda. Ini tidak termasuk pihak ketiga yang dipercayai yang membantu kami dalam mengendalikan laman web kami, menjalankan perniagaan, atau perkhidmatan anda, selagi pihak-pihak bersetuju untuk menyimpan maklumat ini sulit. Kami juga boleh mengeluarkan maklumat anda apabila kita percaya keluaran sesuai untuk mematuhi undang-undang, penguatkuasaan dasar laman web kami, atau melindungi kita atau lain-lain hak, harta, atau keselamatan. Walau bagaimanapun, maklumat pengunjung yang boleh dikenal pasti secara peribadi tidak boleh diberikan kepada pihak lain untuk pemasaran, pengiklanan, atau kegunaan lain."
"Third party links","Pautan pihak ketiga"
"Occasionally, at our discretion, we may include or offer third party products or services on our website. These third party sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our site and welcome any feedback about these sites.","Kadang-kadang, mengikut budi bicara kami, kami boleh memasukkan atau menawarkan produk atau perkhidmatan pihak ketiga di laman web kami. Laman web pihak ketiga mempunyai dasar privasi yang berasingan dan bebas. Oleh itu, kami tidak mempunyai tanggungjawab atau liabiliti untuk kandungan dan aktiviti laman-laman yang dipaut. Namun begitu, kami berusaha untuk melindungi integriti laman web kami dan mengalu-alukan sebarang maklum balas mengenai laman-laman ini."
"Singapore Data Protection Act","Akta Perlindungan Data Singapura"
"We are in compliance with the requirements of the Singapore Personal Data Collection Act. We adhere to the 9 data protection obligations of the Personal Data Collection Act namely; Consent Obligation; Purpose Limitation Obligation; Notification Obligation; Access & Correction Obligation; Accuracy Obligation; Protection Obligation; Retention Limitation Obligation; Transfer Limitation Obligation and Openness Obligation.","Kami mematuhi keperluan Akta Pengumpulan Data Peribadi Singapura. Kita berpegang teguh kepada kewajipan perlindungan 9 data Akta Pengumpulan Data Peribadi iaitu; Persetujuan Kewajiban; Tujuan Batasan Kewajipan; Kewajipan pemberitahuan; Access & Pembetulan Kewajiban; Ketepatan Kewajiban; Perlindungan Kewajiban; Penahanan Batasan Kewajipan; Pemindahan Batasan Kewajipan dan Keterbukaan Kewajipan."
"Online Privacy Policy Only","Hanya Dasar Privasi Dalam Talian"
"This online privacy policy applies only to information collected through our website and not to information collected offline","Dasar privasi dalam talian ini hanya terpakai kepada maklumat yang dikumpul melalui laman web kami dan tidak kepada maklumat yang dikumpul di luar talian"
"Your Consent","Persetujuan Anda"
"By using our site, you consent to our websites privacy policy.","Dengan menggunakan laman web kami, anda bersetuju dengan dasar privasi laman web kami."
"Contacting Us","Hubungi Kami"
"If there are any questions regarding this policy you may contact us using the information below.","Jika terdapat sebarang soalan mengenai dasar ini anda boleh menghubungi kami dengan menggunakan maklumat di bawah."
"FUTUREED CANDIDATE TERMS AND CONDITIONS","TERMA DAN SYARAT CALON FUTUREED"
"Thank you for choosing Futureed Pte Ltd. We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner. To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way. These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Terima kasih kerana memilih Futureed Pte Ltd. Kami berharap untuk menyediakan anda dengan produk yang terbaik dalam industri yang berkualiti tinggi, harga yang kompetitif, bunyi psychometrically dan dengan cara yang secara teknikal boleh dipercayai. Untuk mencapai matlamat itu, kita perlu membuat pengisytiharan undang-undang tertentu untuk memastikan bahawa Perkhidmatan kami sedang digunakan dengan cara yang berpatutan, selamat, dan undang-undang. Terma boleh dikemaskini dari semasa ke semasa. Notis pengubahsuaian dengan Terma ini akan dipaparkan pada halaman ini."
"Introduction","Pengenalan"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessment platform for assessment tools to remotely test candidates on areas of psychometric abilities and personality. The two entities are used interchangeably for legal purposes. By registering to use Futureed Pte Ltd, you are consenting to the terms and conditions as follows in this agreement. We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd disediakan oleh Kosh Consulting Group (Asia) Pte Ltd (KCGA) dan menyediakan platform penilaian dalam talian untuk alat penilaian dari jauh ujian calon pada bidang kebolehan psikometrik dan personaliti. Kedua-dua entiti yang digunakan silih berganti untuk tujuan undang-undang. Dengan mendaftar untuk menggunakan Hadapan Pte Ltd, anda bersetuju kepada terma-terma dan syarat-syarat seperti berikut dalam perjanjian ini. Kami juga mempunyai dasar privasi yang anda juga boleh mencari di laman web kami."
"Responsibility for Use","Tanggungjawab Penggunaan"
"As the account user or user of Futureed Pte Ltd, you assume full responsibility for all use of Futureed Pte Ltd. You represent, warrant, and covenant that:","Sebagai pengguna akaun atau pengguna Futureed Pte Ltd, anda bertanggungjawab sepenuhnya untuk semua penggunaan Futureed Pte Ltd. Anda mewakili, menjamin dan membuat perjanjian bahawa:"
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Anda akan memastikan bahawa perlindungan sewajarnya diambil untuk melindungi kata laluan anda. Anda memahami bahawa kita tidak mempunyai akses kepada kata laluan anda dan anda perlu mencipta kata laluan yang unik dan baru sekiranya anda kehilangan atau terlupa kata laluan anda."
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Kami mempunyai hak untuk memadam akaun Futureed Pte Ltd anda dan semua rekod yang berkaitan selepas tempoh 18 bulan tidak aktif dalam akaun Futureed Pte Ltd ini."
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Sebagai pengguna yang bertanggungjawab, anda bersetuju bahawa anda tidak akan menggunakan laman web Futureed Pte Ltd, atau sebarang produk, atau perkhidmatan yang disediakan oleh atau disediakan pada atau dari laman web Futureed Pte Ltd untuk sebarang tujuan yang menyalahi undang-undang."
"Specifically, you agree to not use the Service to:","Secara khususnya, anda bersetuju untuk tidak menggunakan Perkhidmatan ini untuk:"
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Gunakan sebarang peranti, perisian atau rutin untuk mengganggu atau cuba mengganggu fungsi laman web Futureed Pte Ltd yang sepatutnya atau apa-apa aktiviti yang dijalankan di laman web Futureed Pte Ltd."
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Memuat naik, pos, e-mel, menghantar atau menyediakan apa-apa Kandungan yang menyalahi undang-undang, berbahaya, mengancam, kesat, mengganggu, memfitnah, lucah, menceroboh yang lain"
"Harm minors in any way;","Memudaratkan golongan bawah umur dalam apa jua cara;"
