,"ES"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Si KCGA no tiene éxito en la aplicación estricta de cualquiera de las provisiones de estos Términos, eso no constituye una excención del derecho de subsequentemente reforzar dicha provisión."
,
"Your Consent","Su consentimiento"
,
"By using our site, you consent to our terms and conditions as written in this agreement.","Al usar nuestro site, usted consiente a nuestros Términos y Condiciones tal y cómo están escritos en este acuerdo."
,
"Contacting Us","Contactarnos"
,
"If there are any questions regarding this policy you may contact us using the information below.","Si tiene cualquier pregunta con respecto a esta política puede contactarnos usando la información a continuación."
,
,
"To get started on using Future Lesson, you need to add a student, click","Para empezar a usar Future Lesson, necesitas añadir un estudiante, haz click"
"If you already added a Student, you can","Si yas has añadido un estudiante, puedes"
"buy a subject","comprar una materia"
"for the your student","para el estudiante"
"You can also","también puedes"
"review","revisar"
"the lessons and practice questions.","las lecciones y las preguntas de práctica."
,
,
"Progress in Future Lesson Curriculum","Avanzar en el Curriculum de Future Lesson"
"Progress in Future Lesson Curriculum","Avanzar en el Curriculum de Future Lesson"
"Badges Earned","Insignidas Ganadas"
"Number of Medals Earned","Número de Medallas Ganadas"
"Lessons Completed","Lecciones Completadas"
"Tips Written","Consejos Escritos"
"Hours Spent in Last 7 Days","Horas invertidas en los últimos 7 días"
"Hours Spend","Horas invertidas"
,
,
"Invitation Code","Código de invitación"
"The student you have added will be receiving an email containing the code.","El estudiante que ha añadido va a recibir un email con un código."
"Please get this code from the student and input it on the field above.","Por favor, consiga este código del estudiante e incluyalo en el campo anterior."
"You can also confirm the invitation code in viewing the student details.","También puede confirmar el código de invitación en la sección de detalles del estudiante."
,
,
"Teaching Content","Contenido Educativo"
,
,
"Principal Dashboard","Interfaz del Director"
"Teacher Dashboard","Interfaz del Profesor"
"Parent Dashboard","Interfaz del Padre"
,
,
"Teacher Details","Detalles del Profesor"
,
,
"Delete Teacher","Borrar Profesor"
"Are you sure you want to delete this teacher account?","¿Está seguro que quiere borrar la cuenta de este profesor?"
,
,
"Add Teacher","Añadir profesor"
"Send Invitation","Enviar invitación"
,
,
"Delete Invoice","Borrar Factura"
"Are you sure you want to delete this invoice?","¿Está seguro de que quiere borrar esta factura?"
"Cancel Subscription","Cancelar suscripción"
"Are you sure you want to cancel this subscription?","¿Está seguro de que quiere borrar esta suscripción?"
,
,
"View Sales Invoice","Ver Facturas de Venta"
,
,
"To get started on using Future Lesson, you need to invite a","Para empezar a usar Future Lesson, necesitas una invitación"
"first to manage your classes.","primero gestiona tus clases."
"If you have already invited a Teacher, you need to go to the","Si ya has invitado a un profesor, necesitas ir a"
"to buy seats for your classes.","para comprar asientos para tus clases."
,
,
"You have successfully changed your password.","Has cambiado tu contraseña con éxito."
,
,
"Email Confirmation Code Sent","Cofirmación de Código enviada por email."
"Email Confirmation Code Resent","Cofirmación de Código re-enviada por email."
"Please enter the email code to confirm your new email address.","Por favor incluya el código enviado por email, para confirmar su dirección de email."
"A new email code has been sent to your email account.","Un nuevo código ha sido enviado por email a tu dirección de correo."
"Enter Email Confirmation Code","Introduzca el código de confirmación"
"You have successfully confirmed your new email address.","Ha confirmado su dirección de correo con éxito."
,
,
"To get started on using Future Lesson, you need to add a student under a","Para comenzar a usar Future Lesson, necesita añadir un estudiante abajo"
"To see all your students, click","Para ver tus estudiantes, haz click"
"To review the lessons and practice questions, click on","Para revisar las lecciones y las preguntas de práctica, haga click en"
"View class list","Ver lista de la clase"
,
,
"Be right back.","Volvemos enseguida."
"We are currently undergoing maintenance.","Estamos haciendo trabajos de mantenimiento."
,
,
"Invalid Access","Acceso no válido"
"Sorry, you do not have the permission to access this page.","Perdón, no tiene permiso para acceder a esta página."
"Take me home","Llévame a casa"
,
,
"Page Not Found","Página no encontrada"
"Sorry, the page you are trying to access does not exist.","Lo sentimos, la página que estás intentando ver no existe."
,
,
"Click here to reset your password","Haz click aquí para conseguir una contraseña nueva"
,
,
"All saved progress in","Progreso guardado en"
"Module has been reset by Admin.","El Módulo ha sido restaurado por el Administrador."
"If you did not ask for this change, please contact Administrator right away.","Si no has solicitado este cambio, por favor ponte en contacto con el Administrador de inmediato."
,
,
"You have opt to resend your confirmation code.","Has solicitado que se te re-envíe un código de confirmación."
"Your confirmation code","Tu código de confirmación"
"Link to Future Lessons","Enlace a Future Lessons"
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","¡Gracias por unirte a Future Lesson y felicitaciones por convertirte en miembro de la mejor comunidad de estudiantes de la web! Estamos impacientes por embarcarnos en esta increíble aventura del saber contigo."
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","Cuéntanos qué querrías ser cuando seas mayor ¿médico, astronauta, científico? Elige tu Avatar"
,
,
"has requested to add you in his/her dashboard.","ha solicitado añadirte en su interfaz."
"Please give this invitation code so that you will be added in his/her student list.","Por favor reparte este código de invitación para que se te añada a su lista de estudiantes."
"Invitation code","Código de Invitación"
,
,
"would like you to join us on the Future Lesson platform. Please go to","quiere que te sumes a nosotros en la plataforma de Future Lesson. Por favor, visita"
"Registration Page","Página de Registro"
"and create your profile to join this community.","y crea un perfil para unirte a esta comunidad."
"We look forward to taking this incredible learning adventure with you and your students.","Estamos impacientes por embarcarnos en esta increíble aventura del saber contigo y tus estudiantes."
,
,
"You have been added in","Has sido añadido a"
"by Teacher","por el Profesor"
,
,
"Your Future Lesson account is now active.","Tu cuenta de Future Lesson ha sido activada"
"Please go to","Por favor ve a"
"Login Page","Página de Inicio de Sesión"
"and login to begin your adventure on the Future Lesson platform.","y login para iniciar tu aventura en la plataforma de Future Lesson."
,
,
"You need to update your billing information in order to proceed buying a subscription.","Necesitas actualizar tu información financiera para poder comprar una suscripción."
"Update Now","Actualizar ahora"
,
,
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","Tu cuenta no ha sido verificada, por favor revisa tu registro e intentalo de nueva o contacta con el administrador del sistema en help@futurelesson.com."
"Go To Registration","Ir al Registro"
,
,
"You have opt to resend your confirmation code.","Has solicitado que se te re-envíe un código de confirmación."
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web!  We look forward to taking this incredible learning adventure with you and your student.","¡Gracias por unirte a Future Lesson y felicitaciones por convertirte en miembro de la mejor comunidad de estudiantes de la web! Estamos impacientes por embarcarnos en esta increíble aventura del saber contigo y tus estudiantes."
"To start we need you to confirm with the code on the link provided below.","Para comenzar necesitamos que confirmes con el código en el link a continuación."
,
,
"To start your learning we need you to confirm with the code on the link provided below.","Para comenzar a aprender necesitamos que confirmes el código en el enlace a continuación."
,
,
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","¡Gracias por unirte a Future Lesson y felicitaciones por convertirte en miembro de la mejor comunidad de estudiantes de la web! Estamos impacientes por embarcarnos en esta increíble aventura del saber contigo y tu hijo."
,
,
"has assigned you to","te ha asignado a "
"to teach. You may now start adding your students to your class.","para enseñar. Ya puedes comenzar a añadir a tus estudiantes a tu clase."
"to login.","para iniciar sesión."
,
,
"to create your profile to join this community and set-up your classroom.","para crear tu perfil y formar parte de esta comunidad, así cómo para organizar tu clase."
,
,
"Your password has been reset. Your new password is","Tu contraseña ha sido cambiada. Tu nueva contraseña es"
"If you did not request for this, please contact the administrator right away.","Si no has solicitado este cambio, por favor ponte en contacto con el Administrador de inmediato."
,
,
"Your email has been changed from","Tu email ha sido cambiado de"
"You can now use this email in your","Ya puedes usar este email en tu"
,
,
"Your Picture Password has been saved.","Tu contraseña de imagen ha sido guardada."
"You may now use this picture password in your succeeding login.","Ya puedes usar esta contraseña de imagen en tu login."
"Change Picture Password","Cambiar contraseña de imagen"
,
,
"Please enter the email confirmation code to verify your new email address.","Por favor, ingresa tu código de confirmación para verificar tu nueva dirección de correo."
"The email contains an email code that you need to input below.","El email contiene un código que debes incluir a continuación"
,
,
"Please Select Your Picture Password","Por favor elige tu contraseña de imagen"
,
,
"You have no available subjects.","No hay materias disponibles."
"You need a Teacher to add you to a Class.","Necesitas un profesor para añadir a tu clase."
"You can have your Parent buy you a subscription.","Uno de tus progenitores puede pagar por tu suscripción."
"You can proceed to","Puedes continuar a"
"Student Payment","Pago de Estudiantes"
"page.","página."
,
,
"Please enter the reset code to create your new picture password.","Por favor, incluye tu código para crear tu contraseña de imagen nueva."
"A new email to reset your picture password has been sent to your email account.","Un nuevo email"
"Please enter the confirmation code to verify your email address and to setup your new picture password.","Por favor, incluye tu código para verificar tu dirección de email y crear tu contraseña de imagen nueva."
,
,
"FUTUREED PRIVACY POLICY","FUTUREED POLÍTICA DE PRIVACIDAD"
"What information do we collect?","¿Qué información capturamos?"
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","Recolectamos información de usted cuando se registra en nuestra web, pone una orden, o responde a un test o cuestionario o llena un formulario. Cuando se ordene o registre en nuestro site, cuando sea requerido, se le podrá pedir que incluya su nombre, dirección de email, correo, fecha de nacimiento, contactos, compañía, título, teléfono o número de documento de identidad/pasaporte. Puede también, visitar el sitio de forma anónima."
"What do we use your information for?","¿Para qué usamos la información?"
"Any of the information we collect from you may be used in one of the following ways:","Cualquier información que recopilamos puede ser usada de las siguientes formas:"
"To assist us to create an account for your use and for administration of our products","Para ayudarnos en crear una cuenta para su uso y para administrar nuestros productos"
"To assist us in terms of test administration and scoring purposes. Many of our tests have norms that are pegged to age hence collecting date of birth is necessary but we will only do so when strictly required","Para asistirnos en términos de administración de tests y puntuaciones. Muchos de nuestros tests tienen normas que están vinculadas a ciertas edades por lo que será necesario conseguir la fecha de nacimiento, pero sólo lo haremos cuando sea estrictamente necesario."
"To assist us in resolving any of your technical or content or questions you may have about our products and services","Para ayudarnos a resolver cualquiera de sus preguntas técnicas o de contenidos o aquellas que puedas tener relacionadas con nuestros productos y servicios"
"To personalize your experience (your information helps us to better respond to your individual needs)","Para personalizar su experiencia (su información nos ayuda a responder de mejor forma a sus necesidades individuales)"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","Para mejorar nuestra website (continuamente intentamos mejorar nuestra website basándonos en la información y feedback que recibimos de usted)"
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","Para mejorar el servicio al cliente (tu información nos ayuda a responder de forma más efectiva a tus necesidades de servicio y de apoyo)"
"To process transactions","Para procesar transacciones"
"To administer a contest, promotion, survey or other site feature","Para administrar contenido, promociones, questionarios y otros servicios de la página"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","Enviar emails periódicos. La dirección de email que nos suministra para procesar las órdenes, podrá ser usada para enviarle información y noticias relativas a su orden, además de recibir ocasionalmente noticias de la empresa, novedades, productos relacionados o información de los servicios, etc... Nota: si en cualquier momento quisiera borrarse de recibir emails futuros, incluimos instrucciones detalladas para hacerlo al final de cada email."
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","Su información, tanto pública como privada, no será vendida, intercambiada, transferida o suministrada a cualquier otra compañía por ninguna raxón sin su consentimineto, a no ser que se haga con el expreso propósito de suministrarle un producto que haya adquirido o un servicio que haya requerido"
"How do we protect your information?","¿Cómo protegemos tu información?"
"We implement a variety of security measures to maintain the safety of your personal information when you place an order or enter, submit, or access your personal information.","Implementamos una variedad de medidas de seguridad para mantener la seguridad de su información personal cuando hace una orden o introduce, envía o accede a su información personal."
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential.","Le ofrecemos un servidor seguro. Toda la información suministrada de carácter sensitivo/de crédito es transmitida a través de una tecnología Secure Socket Layer (SSL) y después es encriptada por nuestros proveedores de bases de datos de sistemas de pago y es accesible solamente por aquellos autorizados con derechos especiales a estos sistemas, que son requeridos a preservar dicha información confidencial."
"After a transaction, your private information (credit cards, social security numbers, financials, etc.) will not be kept on file for more than 60 days.","Después de una transacción, su información privada (tarjeta de crédito, número de seguridad social, financiero, etc...) no será almacenado por más de 60 días."
"Do we use cookies?","¿Usamos Cookies?"
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","Sí (las cookies son pequeños archivos que un site o su proveedor de servicio transfiere al hard drive de su computadora a través del navegador (si este así lo permite) y posibilita que algunos sites o proveedores de servicio reconozcan su navegador y capturen y recuerden cierta información"
"We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future. We may contract with third-party service providers to assist us in better understanding our site visitors. These service providers are not permitted to use the information collected on our behalf except to help us conduct and improve our business.","Usamos cookies para ayudarnos a recordar y procesar los objetos en su carro de compra, entienda y guarde sus preferencias para futuras visitas, y compile datos agregados sobre el tráfico al site y las interacciones del site, así podemos ofrecer un servicio mejor y experiencias y herramientas en el futuro. Podremos contactarlos con información relativa a los servicios de terceros que nos asistarán en entender mejor a los visitantes de nuestro site. Estos proveedores de servicios no están permitidos a usar ninguna de la información recogida a nombre nuestro excepto para ayudarnos a llevar a cabo y mejorar nuestros servicios."
"If you prefer, you can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies via your browser settings. Like most websites, if you turn your cookies off, some of our services may not function properly. However, you can still place orders over the telephone or by contacting customer service.","Si lo prefiere puede elegir que su computadora le avise cada vez que una cookie es enviada, o puede elegir apagar las cookies a través de los ajustes de su navegador. Como en la mayoríaa de páginas web, si quita sus cookies, algunos de los servicios no funcionarán correctamente. De todas formas, puede encargar órdenes a través del teléfono o poniendose en contacto con servicio al cliente."
"Do we disclose any information to outside parties?","¿Compartimos información con terceros?"
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.","No vendemos, intercambiamos o transferimos a otras entidades su información personal e identificable. Esto no incluye a terceros de confianza que nos ayudan al operar nuestra website, conducir nuestro negocio, o ofrecerle un servicio, mientras que estas partes estén de acuerdo con mantener dicha informacion de forma confidencial. También podremos suministrar su información cuando pensemos que al hacerlo cumplimos la ley, respetamos las políticas de nuestra página o nos protegemos nosotros u otros derechos, otras propiedades o por seguridad. De todos modos, la información del visitante no identificable podrá ser suministrada a terceros para usos de marketing, publicidad y otros."
"Third party links","Links con terceros"
"Occasionally, at our discretion, we may include or offer third party products or services on our website. These third party sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our site and welcome any feedback about these sites.","Ocasionalmente a nuestra discrección, podremos incluir u ofrecer productos de terceros o servicios en nuestra página. Estos terceros tienen políticas de privacidad independientes. Nosotros así no tenemos responsabilidad por el contenido y las actividades de estos sitios asociados. De todas formas, buscamos proteger la integridad de nuestro site y agradecemos cualquier feedback sobre estos sitios."
"Singapore Data Protection Act","Acto de protección de datos de Singapur"
"We are in compliance with the requirements of the Singapore Personal Data Collection Act. We adhere to the 9 data protection obligations of the Personal Data Collection Act namely; Consent Obligation; Purpose Limitation Obligation; Notification Obligation; Access & Correction Obligation; Accuracy Obligation; Protection Obligation; Retention Limitation Obligation; Transfer Limitation Obligation and Openness Obligation.","Respetamos los requerimientos de la Acta de Recolección de Datos Personales de Singapur. Nos adscribimos a las 9 obligaciones del mismo Acta de Recolección de Datos Personales, Obligación de Consentimiento, Obligación de Limitar los Usos, Obligación de Notificación, Obligación de Acceso y Corrección, Obligación de Exactitud, Obligación de Protección, Obligación de Limitación del Almacenamiento, Obligación de Limitación de transferencia y Obligación de Apertura."
"Online Privacy Policy Only","Política de Privacidad Online"
"This online privacy policy applies only to information collected through our website and not to information collected offline","Esta Política de Privacidad se aplica solamente a información recogida a través de nuestra website y no a información recolectada offline"
"Your Consent","Su consentimiento"
"By using our site, you consent to our websites privacy policy.","Al usar nuestra website usted da su consentimiento a la Política de Privacidad de nuestas páginas web"
"Contacting Us","Contactarnos"
"If there are any questions regarding this policy you may contact us using the information below.","Si tiene alguna pregunta con respecto a esta Política puede ponerse en contacto con nosotros usando la información a continuación."
,
,
"FUTUREED CANDIDATE TERMS AND CONDITIONS","Términos y Condiciones de los Candidatos a Futureed"
"Thank you for choosing Futureed Pte Ltd.  We intend to provide provide you with a best-in-industry products that are of high quality, price competitive, psychometrically sound and in a technically reliable manner.  To achieve that goal, we need to make certain legal declarations to ensure that our Service is being used in a reasonable, safe, and legal way. These Terms may be updated from time to time. Notice of modifications to these Terms will appear on this page.","Gracias por elegir Futureed PTE LTD para sus necesidades educativas. Intentamos suministrarle los mejores productos del mercado que tienen una alta calidad, precios competitivos, se ajustan a los estandares psicométricos y son tecnicamente confiables. Para alcanzar dicho objetivo, debemos hacer una serie de declaraciones legales que nos ayudarán a asegurarnos de que nuestro Servicio está siendo usando de forma razonable, segura y legalmente. Estos Términos podrán ser actualizados ocasionalmente. Avisos sobre dichas modificaciones, aparecerán en esta página."
"Introduction","Introducción"
"Futureed Pte Ltd is made available by Kosh Consulting Group (Asia) Pte Ltd (KCGA) and provides an online assessment platform for assessment tools to remotely test candidates on areas of psychometric abilities and personality.  The two entities are used interchangeably for legal purposes.  By registering to use Futureed Pte Ltd, you are consenting to the terms and conditions as follows in this agreement.  We also have a privacy policy which you can also find on our website.","Futureed Pte Ltd ha sido puesta en el mercado por Kosh Consulting Group (Asia) Pte Ltd (KCGA) y ofrece herramientas educativas online para testear candidatos potenciales en áreas relacionadas con sus habilidades psicométricas y su personalidad. Las dos entidades son usadas de forma intercanjeable por propósitos legales. Al registrarse para usar Futureed, consiente a los términos y condiciones como se especifican en este acuerdo. También ponemos a su disposición una Política de Privacidad que encontrará en nuestra página web."
"Responsibility for Use","Responsabilidad de uso"
"As the account user or user of Futureed Pte Ltd, you assume full responsibility for all use of Futureed Pte Ltd. You represent, warrant, and covenant that:","Usted suministrará documentación de fomra razonable y apropiada a KCGA para que nosotros hagamos un análisis de su idoneidad y calificaciones para usar los productos y servicios de Futureed Pte Ltd."
"You will ensure that reasonable safeguards are taken for the protection of your password. You understand that we do not have access to your password and that you must create a new unique password in the event that you lose or forget your password.","Usted se asegurará de que las precauciones necesarias se han tomado para salvaguardar y proteger su contraseña. Usted entiende que no tenemos acceso a su contraseña y de que debe crear una contraseña nueva y única en el evento de perder u olvidar dicha contraseña."
"We will have the right to delete your Futureed Pte Ltd account and all associated records after a period of 18 months of inactivity on your Futureed Pte Ltd account.","Nosotros tendremos derecho de borrar su cuenta de Futureed Pte Ltd y todos los registros asociados a la misma después de un período de 18 meses de inactividad en su cuenta de Futureed Pte Ltd."
"As a responsible user, you agree that you will not use the Futureed Pte Ltd site, or any product, or service provided by or made available on or from the Futureed Pte Ltd site for any unlawful purpose.","Como usuario responsable, usted está de acuerdo con no usar el sitio de Futureed Pte Ltd, o cualquiera de sus productos o servicios suministrados por o puestos a su disposición por o en el sitio de Futureed Pte Ltd para usos de carácter ilegal."
"Specifically, you agree to not use the Service to:","Especificamente, usted acepta que no usará el Servicio para:"
"Use any device, software, or routine to interfere or attempt to interfere with the proper working of the Futureed Pte Ltd site or any activity being conducted on the Futureed Pte Ltd site.","Usar cualquier aparato, software, o rutina que interfiera o intente interferir con el funcionamiento normal del sitio de Futureed Pte Ltd o con cualquier actividad que tenga lugar en la página de Futureed Pte Ltd."
"Upload, post, email, transmit or otherwise make available any Content that is unlawful, harmful, threatening, abusive, harassing, tortious, defamatory, vulgar, obscene, pornographic, libelous, invasive of another\s","Cargar, postear, mandar por email, transmitir o de cualquier forma poner a disposición cualquier contenido que es ilegal, dañino, amenazante, abusivo, acosador, torturador, difamatorio, vulgar, obsceno, pornográfico, invasivo de cualquier otra persona"
"Harm minors in any way;","Herir a menores de cualquier forma;"
"Impersonate any person or entity, including, but not limited to, a KCGA official, or host, or falsely state or otherwise misrepresent your affiliation with a person or entity;","Suplantar o hacerse pasar por cualquier persona, entidad, incluyendo pero sin limitarse a KCGA oficial, o falsamente afirmar o de cualquier forma tergiversar su afiliación con una persona o entidad;"
"Forge headers or otherwise manipulate identifiers in order to disguise the origin of any Content transmitted through Futureed;","Falsificar encabezados, o de cualquier forma manipular los identificadores para así ocultar el origen de cualquier Contenido transmitido en Futureed Pte Ltd"
"Upload, post, email, transmit or otherwise make available any Content that you do not have a right to make available under any law or under contractual or fiduciary relationships (such as inside information, proprietary and confidential information learned or disclosed as part of employment relationships or under nondisclosure agreements);","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición de otros cualquier contenido que usted no tenga derecho a suministrar bajo cualquier ley, o bajo una relación contractual o fiducidaria (como infomación interna, patentada e información confidencial aprendida o revelada como parte de una relación de empleo o bajo acuerdo de confidencialidad);"
"Upload, post, email, transmit or otherwise make available any Content that infringes any patent, trademark, trade secret, copyright or other proprietary rights of any party;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier contenido que infrinja una patente, marca registrada, secreto registrado, copyright o cualquier derecho de propiedad de cualquier entidad;"
"Upload, post, email, transmit or otherwise make available any unsolicited or unauthorized advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation, except in those areas (such as shopping) that are designated for such purpose;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier publicidad solicitada o sin solicitar, materiales promocionales, spam, cartas en cadena, correo basura, sistemas piramidales, o cualquier otra forma de solicitación, excepto en aquellas áreas (como zona de compras) que estén orientadas a dicho propósito;"
"Upload, post, email, transmit or otherwise make available any material that contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any part of Futureed;","Cargar, publicar, mandar por email, transmitir o de cualquier forma poner a disposición cualquier material que contenga software maligno o con virus, o cualquier otro código, archivos o programas diseñados para interrumpir, destruir o limitar la funcionalidad de cualquier parte de Futureed;"
"Disrupt the normal flow of dialogue, cause a screen to ""scroll"" faster than other users of the Service are able to type, or otherwise act in a manner that negatively affects other users","Interferir con el flujo normal de diálogo, hacer que la pantalla se mueva más rapido que en la que otros usuarios del servicio escriben, o de cualquier otra forma que perjudique a otros."
"Interfere","Interferir"
"Intentionally or unintentionally violate any applicable law, statute, ordinance, regulation, rule or code, including, but not limited to, any regulations, rules, notices, instructions or directives of any regulatory body or authority, governmental agency or national or other securities exchange ;","Intencional o no intencionalmente violar cualquier ley aplicable, estatuto, ordenanza, regulación, regla o código, incluyendo sin limitar, cualquier regulación, reglas, avisos, instrucciones o directivas de cualquier ente regulador o autoridad, agencia gubernamental o nacional o de seguridad intercambiar"
"Provide material support or resources (or to conceal or disguise the nature, location, source, or ownership of material support or resources) to any organization(s) designated by Singapore, your country or the United States government as a foreign terrorist organization;","Suministrar material de soporte o recursos (u ocultar o manipular la naturaleza, ubicación, fuente o propiedad de cualquier material de soporte o recurso) a cualquier empresa (s) calificada como organización internacional terrorista por Singapur, su país o el Gobierno de Estados Unidos;"
"""stalk"" or otherwise harass another;","acosar o molestar a otros;"
"Commit any fraudulent or unlawful act, whether in relation to any third party provider of products and services on the Service or otherwise and/or","Cometer cualquier acto fraudulento o contrario a la ley, ya sea en relación con un tercero proveedor de productos y servicios en el Servicio o de cualquier otra forma y/o"
"Collect or store personal data about other users in connection with the prohibited conduct and activities set forth in this agreement;","Recoger o alamacenar datos personales sobre otros usuarios en conexión con las conductas y actividades prohibidas en este acuerdo;"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects the national security of Singapore","Crear, mostrar, transmitir u obtener materiales que violen las leyes de propiedad intelectual;"
"Create, display, transmit, or obtain materials that poses a threat to or adversely affects racial harmony in Singapore;","Crear, mostrar, transmitir u obtener materiales que supongan un peligro o afecten negativamente la armonía racial de Singapur;"
"Create, display, transmit, or obtain materials that violates intellectual property laws;","Crear, mostrar, transmitir u obtener materiales que violen las leyes de propiedad intelectual;"
"Use of machines, computers, scripts, “bots” or any automated system on Futureed Pte Ltd is strictly prohibited and may result in criminal liability. Futureed Pte Ltd may terminate and permanently disqualify any User who, in its sole discretion, determines as being in violation of these Terms of Service. All decisions by Futureed Pte Ltd are final;","El uso de máquinas, computadoras, guiones, robots o cualquier sistema automatizado está prohibido estrictamente en Futureed Pte Ltd y puede resultar en responsabilidad criminal. Futureed Pte Ltd puede terminar y descalificar permanentemente a cualquier usuario que, a su propia discrección, haya violado estos Términos de Servicio. Todas las decisiones de Futureed Pte Ltd son finales;"
"Futureed Pte Ltd may include hyperlinks to Websites operated by parties other than Futureed Pte Ltd including advertisers and other content providers. Those sites may collect data or solicit personal information from you. Futureed Pte Ltd does not control such Websites, and is not responsible for their content, privacy policies, or for the collection, use or disclosure of any information those sites may collect.","Futureed Pte Ltd puede incluir hyperlinks a páginas web operadas por otros entes diferentes a Futureed Pte Ltd, incluyendo anunciantes y otros proveedores de contenido. Estos sitios podrán almacenar información o solicitar información personal de usted. Futureed Pte Ltd no controla dichas websites, y no es responsable por su contenido, políticas de privacidad o por la recogida, uso y suministro posterior de cualquier información que dichas webs puedan recolectar."
"Futureed Pte Ltd and KCGA makes no guarantee of the accuracy, correctness, or completeness of any information on these web pages, surveys, databases, or results, and are not responsible for a) any errors or omissions arising from the use of such information; 2) any failures, delays, or interruptions in the delivery of any content or services contained on our servers; or 3) losses or damages arising from the use of the content or services provided by us.","Futureed Pte Ltd puede incluir hyperlinks a páginas web operadas por otros entes diferentes a Futureed Pte Ltd, incluyendo anunciantes y otros proveedores de contenido. Estos sitios podrán almacenar información o solicitar información personal de usted. Futureed Pte Ltd no controla dichas websites, y no es responsable por su contenido, políticas de privacidad o por la recogida, uso y suministro posterior de cualquier información que dichas webs puedan recolectar."
"Futureed Pte Ltd products and services are created based on the integrity of the users using the assessments. As a responsible and user with integrity, by using the assessments on Futureed Pte Ltd, you agree to be personally honest and to treat others with respect and courtesy in terms of taking any assessment at Futureed Pte Ltd. You agree that you have neither received nor been given assistance on the assessment and will not attempt to undermine the test by copying, cheating or plagiarizing questions or answers. You will also not infringe on the intellectual property rights of the owners of the content by distributing the content without permission. If you do so, you are aware that you will be liable for any subsequent consequences related to intellectual property rights infringement actions by us.","Los productos y servicios de Futureed Pte Ltd son creados basándose en la integridad de los usuarios a la hora de usar los cuestionarios. Como miembro responsable y con integridad, al usar los cuestionarios de Futureed Pte Ltd, usted está de acuerdo con ser personalmente honesto y con tratar a otros con respeto y cortesía cuando tomen un cuestionario en Futureed Pte Ltd. Usted acuerda que no ha recibido ni ha sido ofrecido asistencia en los cuestionarios ni pretende restar valor a los tests al copiar, hacer trampas o plagiar preguntas y respuestas. Usted tampoco infringirá ningún derecho de protección intelectual de los dueños del contenido al distribuir el contenido sin permiso. Si lo hace, es consciente de que será responsable de cualquier consecuencia relacionada con los derechos de propiedad intelectual si lleva a cabo acciones infringiendolos."
"You also specifically agree that you will not,","También aceptas que especificamente no"
"Attempt to copy or share the questions and answers with your friends, family, acquaintances and associates.","Intentará copiar o compartir las preguntas y respuestas con tus amigos, familiares, conocidos y asociados."
