"DO NOT EDIT","Vietnamese"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA SHALL NOT BE LIABLE TO THE CUSTOMER, ANY USER, OR ANY OTHER PERSON FOR ANY SPECIAL, INCIDENTAL, INDIRECT, COLLATERAL, CONSEQUENTIAL, EXEMPLARY, OR PUNITIVE DAMAGES, WHETHER IN ANY ACTION OR CONTRACT, EQUITY, STRICT LIABILITY, TORT (INCLUDING, BUT NOT LIMITED TO, NEGLIGENCE) OR OTHER THEORY OF LIABILITY (INCLUDING, BUT NOT LIMITED TO, BREACH OF WARRANTY) ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ANY ERROR, OMISSION OR INACCURACY CONTAINED IN, ANY DATA, INFORMATION, RECORD OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF FUTUREED PTE LTD OR FROM ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, EVEN IF KCGA HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR SUCH POSSIBILITY WAS REASONABLY FORESEEABLE INCLUDING (BUT NOT LIMITED TO) DAMAGES FOR LOSS OF USE, FOR DELAY, LOSS OF BUSINESS, LOSS OF REVENUE, PROFITS OR SAVINGS, BUSINESS INTERRUPTION LOSS, LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, LOSS OF PRIVACY, AND LOSS OF GOODWILL, AND LIABILITY TO THIRD PARTIES, ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATED TO THE USE OR PERFORMANCE OF OR INABILITY TO USE FUTUREED PTE LTD OR ARISING OUT OF OR IN ANY WAY CONNECTED WITH OR RELATING TO THE USE OR INABILITY TO USE ANY DATA OR OTHER INFORMATION, RECORD, OR RESULTS OBTAINED THROUGH OR RESULTING FROM THE USE OF OR INABILITY TO USE FUTUREED PTE LTD , ANY LOSS OR CORRUPTION OF DATA OR OTHER INFORMATION OR RECORD, OR ARISING FROM ANY FAILURE TO MEET ANY DUTY, INCLUDING (BUT NOT LIMITED TO) ANY DUTY OF GOOD FAITH OR TO EXERCISE COMMERCIALLY REASONABLE CARE, OR ARISING OUT OF ANY COURSE OF DEALING, COURSE OF PERFORMANCE, USAGE OR TRADE, OR OTHERWISE, EVEN IF KCGA OR FUTUREED PTE LTD WAS ADVISED OF THE POSSIBILITY OF SUCH DAMAGES OR IF SUCH POSSIBILITY WAS REASONABLY FORESEEABLE.","Trong phạm vi tối đa pháp luật cho phép, KCGA sẽ không chịu trách nhiệm với khách hàng, người dùng hay bất kỳ cá nhân nào khác cho bất cứ trường hợp đặc biệt, ngẫu nhiên, gián tiếp, có thế chấp, gây hậu quả, để cảnh báo hay phạt tiền thiệt hại, cho dù trong bất kỳ hành động hay hợp đồng, hợp lý, trách nhiệm pháp lý nghiêm ngặt, trách nhiệm dân sự (bao gồm do sơ xuất) hay các lý thuyết khác của trách nghiệm pháp lý (bao gồm vi phạm cam kết) phát sinh từ việc liên kết với hoặc liên quan đến việc sử dụng và thực hiện hoặc không có khả năng sử dụng Futureed Pte Ltd và bất kỳ lỗi, thiết sót hoặc thiếu chính xác nào trong dữ liệu, thông tin, hồ sơ hay kết quả đạt được thông qua hay do bởi việc sử dụng Futureed Pte Ltd hay từ bất kỳ mất mát hư hỏng dữ liệu và thông tin hồ sơ khác; thậm chí nếu KCGA đã được thông báo về khả năng xảy ra các thiệt hại hoặc khả năng dự đoán trước được bao gồm các thiệt hại về việc sử dụng, trì hoãn, tổn thất kinh doanh, tổn thất về doanh thu, lợi nhuận hoặc tiền tiết kiệm, gián đoạn kinh doanh, mất mát hoặc hư hỏng dữ liệu cũng như thông tin hay hồ sơ, mất sự riêng tư, mất thiện chí và trách nhiệm pháp lý cho bên thứ ba, phát sinh từ việc liên quan đến việc sử dụng, thực hiện hoặc không có khả năng sử dụng bất kỳ dữ liệu hay thông tin, hồ sơ hoặc kết quả đạt được thông qua việc sử dụng hoặc không có khả năng sử dụng Futureed Pte Ltd; bất kỳ mất mát hay hư hỏng dữ liệu hay thông tin, hồ sơ phát sinh từ việc không đáp ứng được nhiệm vụ, bao gồm bất kỳ nhiệm vụ giữ đúng cam kết hoặc đển thực hiện bảo dưỡng thương mại hợp lý hay phát sinh theo chiều hướng xử lý, chiều hướng thực hiện, cách sử dụng hoặc thương mại, hay thậm chí nếu KCGA và Futureed Pte Ltd được thông báo về khả năng thiệt hại và khả năng đó có thể đoán trước được"
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA\S","Trong phạm vi tối đa pháp luật cho phép, KCGA's"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","Trong phạm vi tối đa pháp luật cho phép, bạn sẽ không được đưa ra, yêu cầu, góp sức hay tham gia vào vụ kiện hoặc tiến trình phân xử tập thể như bất kỳ khiếu nại, yêu cầu, thình cầu hay tố tụng của vụ kiện phát sinh ra chống lại KCGA, Futureed Pte Ltd liên quan đến hoặc liên kết với trang chủ Futureed Pte Ltd, việc sử dụng trang chủ Futureed Pte Ltd, bất kỳ thử nghiệm hay các sản phẩm dịch vụ khác của bạn thông qua trang chủ Futureed Pte Ltd; và bạn sẽ khước từ cũng như từ bỏ bất kỳ quyền hạn nào bạn đang và sẽ có thể đưa ra, yêu cầu hay tham gia vào bất kỳ tố tụng hay phân xử hoặc những tiến trình khác trong vụ kiện tập thể hay củng cố cơ sở hoặc tham gia như là người đại diện hay thành viên của bất kỳ tập thể nguyên đơn có liên quan đến bất kỳ khiếu nại, yêu cầu, thình cầu hay tố tụng của vụ kiện phát sinh liên quan đến hay liên kết với việc sử dụng Futureed Pte Ltd, bất kỳ thử nghiệm, sản phẩnm hay dịch vụ có được thông qua trang chủ Futureed Pte Ltd của bạn. Quy định này không được coi là thiết lập từ bỏ quyền và bồi thường của bạn để thực hiện khiếu nại cá nhân và không phải là trong vụ kiện, phân xử tập thể hay củng cố cơ sở hoặc tham gia như là người đại diện hay thành viên của bất kỳ tập thể nguyên đơn nào."
"Severability",
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired",
"Jurisdiction and Governing Law","Thẩm quyền và Luật điều chỉnh"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","Hiệu lực, việc xây dựng, thực thi và giải thích các Điều khoản và Điều kiện sử dụng là để điều chỉnh luật pháp của Singapore."
"Waiver","Từ bỏ"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","Việc KCGA thất bại trong thúc ép thực hiện chặt chẽ mọi điều khoản của các khoản không được coi là thiết lập từ bỏ quyền rồi thực thi các điều khoản đó"
"Your Consent","Sự đồng ý của bạn"
"By using our site, you consent to our terms and conditions as written in this agreement.","Bằng cách sử dụng trang web của chúng tôi, bạn đồng ý với các điều khoản và điều kiện như được viết trong bản thoả thuận này."
"Contacting Us","Liên hệ với chúng tôi"
"If there are any questions regarding this policy you may contact us using the information below.","Nếu có bất kỳ câu hỏi nào liên quan đến chính sách này, bạn có thể liên hệ với chúng tôi theo thông tin dưới đây."
"To get started on using Future Lesson, you need to add a student, click","Để bắt đầu sử dụng Future Lesson, bạn cần phải thêm một học viên, nhấp"
"If you already added a Student, you can","Nếu bạn đã thêm một học viên, bạn có thể"
"buy a subject","mua một một môn học"
"for the your student","cho học sinh của mình"
"You can also","Bạn cũng có thể"
"review","ôn tập"
"the lessons and practice questions.","những bài học và câu hỏi thực hành."
"Progress in Future Lesson Curriculum","Tiến độ chương trình giảng dạy của Future Lesson"
"Progress in Future Lesson Curriculum","Tiến độ chương trình giảng dạy của Future Lesson"
"Badges Earned","Huy hiệu đạt được"
"Number of Medals Earned","Số huy chương đạt được"
"Lessons Completed","Bài học hoàn thành"
"Tips Written","Mẹo đã viết"
"Hours Spent in Last 7 Days","Giờ đã dành ra trong 7 ngày"
"Hours Spend","Giờ dành ra"
"Invitation Code","Mã thư mời"
"The student you have added will be receiving an email containing the code.","Các sinh viên bạn đã được thêm sẽ nhận được một email có chứa mã."
"Please get this code from the student and input it on the field above.","Hãy lấy mã này từ học viên và nhập nó vào cột bên trên."
"You can also confirm the invitation code in viewing the student details.","Bạn cũng có thể xác nhận mã thư mời bằng cách xem trong các chi tiết học viên"
"Teaching Content","Nội dung giảng dạy"
"Principal Dashboard","Bảng điều khiển của hiệu trưởng"
"Teacher Dashboard","Bảng điều khiển của giáo viên"
"Parent Dashboard","Bảng điều khiển cha mẹ"
"Teacher Details","Chi tiết giáo viên"
"Delete Teacher","Xóa giáo viên"
"Are you sure you want to delete this teacher account?","Bạn có chắc chắn muốn xóa tài khoản giáo viên này ?"
"Add Teacher","Thêm giáo viên"
"Send Invitation","Gửi lời mời"
"Delete Invoice","Xóa hóa đơn"
"Are you sure you want to delete this invoice?","Bạn có chắc chắn muốn xóa hóa đơn này ?"
"Cancel Subscription","Hủy đăng ký"
"Are you sure you want to cancel this subscription?","Bạn có chắc là bạn muốn hủy bỏ đăng ký này ?"
"View Sales Invoice","Xem hóa đơn bán hàng"
"To get started on using Future Lesson, you need to invite a","Để bắt đầu sử dụng Future Lesson, bạn cần mời một"
"first to manage your classes.","đầu tiên để quản lý các lớp học của bạn."
"If you have already invited a Teacher, you need to go to the","Nếu bạn đã mời một giáo viên, bạn cần phải đi đến"
"to buy seats for your classes.","mua chỗ ngồi cho các lớp học của bạn."
"You have successfully changed your password.","Bạn đã thay đổi thành công mật khẩu của bạn."
"Email Confirmation Code Sent","Email chứa mã xác nhận đã gửi"
"Email Confirmation Code Resent","Email chứa mã xác nhận gửi lại"
"Please enter the email code to confirm your new email address.","Vui lòng nhập mã email để xác nhận email mới của bạn."
"A new email code has been sent to your email account.","Một mã email mới đã được gửi đến tài khoản email của bạn."
"Enter Email Confirmation Code","Nhập mã xác nhận email"
"You have successfully confirmed your new email address.","Bạn đã xác nhận thành công địa chỉ email mới của bạn."
"To get started on using Future Lesson, you need to add a student under a","Để bắt đầu sử dụng Future Lesson, bạn cần phải thêm một học viên dưới.."
"To see all your students, click","Để xem tất cả các học viên của bạn, nhấp vào đây"
"To review the lessons and practice questions, click on","Để xem lại những bài học và câu hỏi thực hành, nhấp vào"
"View class list","Xem danh sách lớp"
"Be right back.","Sẽ quay lại trong giây lát."
"We are currently undergoing maintenance.","Chúng tôi hiện đang bảo trì."
"Invalid Access","Truy cập không hợp lệ"
"Sorry, you do not have the permission to access this page.","Xin lỗi, bạn không có quyền truy cập trang này."
"Page Not Found","Không tìm thấy trang này"
"Sorry, the page you are trying to access does not exist.","Xin lỗi, trang bạn đang cố gắng truy cập không tồn tại."
"Click here to reset your password","Nhấp vào đây để đặt lại mật khẩu của bạn"
"All saved progress in","Tất cả tiến trình đã lưu trong"
"Module has been reset by Admin.","Mô-đun đã được đặt lại bởi quản trị viên."
"If you did not ask for this change, please contact Administrator right away.","Nếu bạn không yêu cầu thay đổi này, xin vui lòng liên hệ với quản trị viên ngay lập tức."
"You have opt to resend your confirmation code.","Bạn đã chọn gửi lại mã xác nhận."
"Your confirmation code","Mã xác nhận của bạn"
"Link to Future Lessons","Liên kết đến Future Lessons"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","Cảm ơn vì bạn đã tham gia Future Lesson với chúng tôi và chúc mừng bạn trở thành một phần trong cộng đồng thú vị nhất của các học viên trên trang web! Chúng tôi mong muốn cùng được trải nghiệm chuyến phiêu lưu học tập quý báu này với bạn."
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","Vậy hãy cho chúng tôi biết, Bạn muốn trở thành ai khi trưởng thành? Một bác sĩ, phi hành gia, nhà khoa học? Hãy chọn hình đại diện cho mình"
"has requested to add you in his/her dashboard.","...đã yêu cầu được thêm bạn vào danh sách theo dõi của anh/chị ấy"
"Please give this invitation code so that you will be added in his/her student list.","Vui lòng gửi mã thư mời này để bạn được thêm vào trong danh sách học viên của anh/chị ấy"
"Invitation code","Mã thư mời"
"would like you to join us on the Future Lesson platform. Please go to","Bạn muốn tham gia vào diễn đàn Future Lesson với chúng tôi. Hãy đi đến"
"Registration Page","Trang đăng ký"
"and create your profile to join this community.","và tạo lập hồ sơ của bạn để gia nhập cộng đồng này."
"We look forward to taking this incredible learning adventure with you and your students.","Chúng tôi mong muốn cùng được trải nghiệm chuyến phiêu lưu học tập quý báu này với bạn."
"You have been added in","Bạn đã được thêm vào"
"by Teacher","bởi giáo viên"
"Your Future Lesson account is now active.","Tài khoản Future Lesson của bạn có hiệu lực từ bây giờ"
"Please go to","Hãy đi đến"
"Login Page","Đăng nhập vào trang"
"and login to begin your adventure on the Future Lesson platform.","và đăng nhập để bắt đầu chuyến phiêu lưu của mình trên diễn đàn Future Lesson"
"You need to update your billing information in order to proceed buying a subscription.","Bạn cần cập nhật thông tin thanh toán của bạn để tiến hành mua một thuê bao."
"Update Now","Cập nhật bây giờ"
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","Tài khoản của bạn chưa được xác nhận, xin vui lòng xem lại quá trình đăng ký và thử lại hoặc liên hệ với quản trị viên hệ thống tại help@futurelesson.com."
"Go To Registration","Đến mục đăng ký"
"You have opt to resend your confirmation code.","Bạn đã lựa chọn để gửi lại mã xác nhận."
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your student.","Cảm ơn vì bạn đã tham gia Future Lesson với chúng tôi và chúc mừng bạn trở thành một phần trong cộng đồng thú vị nhất của các học viên trên trang web! Chúng tôi mong muốn cùng được trải nghiệm chuyến phiêu lưu học tập quý báu này với bạn và học viên của bạn."
"To start we need you to confirm with the code on the link provided below.","Để bắt đầu, chúng tôi cần bạn xác nhận bằng mã trên liên kết được cung cấp bên dưới."
"To start your learning we need you to confirm with the code on the link provided below.","Để bắt đầu việc học của bạn, chúng tôi cần bạn xác nhận bằng mã trên liên kết được cung cấp bên dưới."
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","Cảm ơn vì bạn đã tham gia Future Lesson với chúng tôi và chúc mừng bạn trở thành một phần trong cộng đồng thú vị nhất của các học viên trên trang web! Chúng tôi mong muốn cùng được trải nghiệm chuyến phiêu lưu học tập quý báu này với bạn và học viên của bạn."
"has assigned you to","...đã giao cho bạn"
"to teach. You may now start adding your students to your class.","...để dạy. Bây giờ bạn có thể bắt đầu thêm các học viên của bạn vào lớp học của bạn."
"to login.","đăng nhập."
"to create your profile to join this community and set-up your classroom.","để tạo lập hồ sơ của bạn để tham gia cộng đồng này và thiết lập lớp học của bạn."
"Your password has been reset. Your new password is","Mật khẩu của bạn đã được thiết lập lại. Mật khẩu mới của bạn"
"If you did not request for this, please contact the administrator right away.","Nếu bạn không yêu cầu cấn đề này, xin vui lòng liên hệ với người quản trị ngay lập tức."
"Your email has been changed from","Email của bạn đã được thay đổi từ"
"You can now use this email in your","Bây giờ bạn có thể sử dụng email này của bạn trong việc"
"Your Picture Password has been saved.","Mật khẩu hình ảnh của bạn đã được lưu."
"You may now use this picture password in your succeeding login.","Bây giờ bạn có thể sử dụng mật khẩu hình ảnh này cho lần đăng nhập tiếp theo"
"Change Picture Password","Thay đổi mật khẩu hình ảnh"
"Please enter the email confirmation code to verify your new email address.","Vui lòng nhập mã xác nhận email để xác minh địa chỉ email mới của bạn."
"The email contains an email code that you need to input below.","Các email có chứa một mã email mà bạn cần phải nhập vào bên dưới."
"Please Select Your Picture Password","Vui lòng chọn mật khẩu hình ảnh"
"You have no available subjects.","Bạn không có đối tượng có sẵn."
"You need a Teacher to add you to a Class.","Bạn cần một giáo viên để thêm bạn vào lớp"
"You can have your Parent buy you a subscription.","Bạn có thể nhờ cha mẹ mua cho mình một thuê bao"
"You can proceed to","Bạn có thể tiếp tục đến"
"Student Payment","Tiến trình thanh toán dành cho học viên"
"page.","trang."
"Please enter the reset code to create your new picture password.","Vui lòng nhập mã đặt lại để tạo mật khẩu hình ảnh mới của bạn"
"A new email to reset your picture password has been sent to your email account.","Một email mới để đặt lại mật khẩu hình ảnh của bạn đã được gửi đến tài khoản email của bạn."
"Please enter the confirmation code to verify your email address and to setup your new picture password.","Vui lòng nhập mã xác nhận để xác minh địa chỉ email và thiết lập mật khẩu hình ảnh mới của bạn."
"FUTUREED PRIVACY POLICY","Chính sách bảo mật Futureed"
"What information do we collect?","Chúng tôi thu thập thông tin gì?"
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","Chúng tôi thu thập thông tin từ bạn khi bạn đăng ký vào trang chủ của chúng tôi, đặt hàng, trả lời khảo sát/ đánh giá hay điền vào một biểu mẫu. Khi đặt hàng hoặc đăng ký trên trang web của chúng tôi, nếu được, bạn có thể được yêu cầu nhập tên của bạn, địa chỉ email, địa chỉ, ngày tháng năm sinh, thông tin liên lạc, công ty, chức vụ, số điện thoại hoặc ID/ số hộ chiếu. Tuy nhiên, bạn cũng có thể truy cập ẩn danh vào trang chủ của chúng tôi"
"What do we use your information for?","Chúng tôi dùng thông tin của bạn để làm gì?"
"Any of the information we collect from you may be used in one of the following ways:","Bất kỳ thông tin nào chúng tôi thu thập từ bạn có thể được sử dụng trong những mục đích sau đây:"
"To assist us to create an account for your use and for administration of our products","Để giúp chúng tôi có thể tạo ra một tài khoản sử dụng cho bạn và cho việc quản lý những sản phẩm của chúng tôi"
"To assist us in resolving any of your technical or content or questions you may have about our products and services","Để giúp chúng tôi giải quyết bất kỳ câu hỏi nào về kỹ thuật và nội dung mà bạn có thể băn khoăn về những sản phẩm và dịch vụ của chúng tôi"
"To personalize your experience (your information helps us to better respond to your individual needs)","Để cá nhân hóa trải nghiệm của bạn (thông tin của bạn sẽ giúp chúng tôi đáp ứng tốt hơn cho nhu cầu cá nhân của bạn)"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","Để cải thiện trang web của chúng tôi (chúng tôi liên tục phấn đấu để cải thiện dịch vụ trên trang chủ của chúng tôi dựa trên những thông tin và phản hồi chúng tôi nhận được từ bạn)"
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","Để cải thiện dịch vụ khách hàng (thông tin của bạn sẽ giúp chúng tôi đáp ứng hiệu quả hơn những yêu cầu dịch vụ khách hàng và nhu cầu hỗ trợ của bạn)"
"To process transactions","Tiến hành giao dịch"
"To administer a contest, promotion, survey or other site feature","Để quản lý một cuộc thi, chương trình khuyến mãi, khảo sát và tính năng khác của trang chủ"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","Để gửi email định kỳ. Những địa chỉ email mà bạn cung cấp trong quá trình đặt hàng có thể được sử dụng để gửi cho bạn những thông tin và cập nhật liên quan đến việc đặt hàng của bạn; ngoài ra còn nhận thông tin từ công ty, cập nhật, thông tin liên quan đến sản phẩm hoặc dịch vụ, v.v... Lưu ý: Bất cứ khi nào bạn muốn huỷ đăng ký nhận email sau này, chúng tôi luôn kèm theo chi tiết hướng dẫn hủy bỏ đăng ký ở cuối mỗi email."
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","Thông tin của bạn, dù công khai hay riêng tư đều sẽ không được bán, trao đổi, chuyển nhượng, hoặc giao lại cho bất kỳ công ty nào hay cá nhân khác với bất kỳ lý do nào, mà không có sự đồng ý của bạn, ngoài một mục đích rõ ràng là cung cấp các sản phẩm bạn đã mua hoặc dịch vụ bạn yêu cầu."
"How do we protect your information?","Làm thế nào để chúng tôi bảo vệ thông tin của bạn?"
"We implement a variety of security measures to maintain the safety of your personal information when you place an order or enter, submit, or access your personal information.","Chúng tôi thực hiện một loạt các biện pháp an ninh để duy trì sự an toàn cho thông tin cá nhân của bạn khi bạn đặt hàng hay nhập, gửi, hoặc truy cập vào thông tin cá nhân của bạn."
"We offer the use of a secure server. All supplied sensitive/credit information is transmitted via Secure Socket Layer (SSL) technology and then encrypted into our Payment gateway providers database only to be accessible by those authorized with special access rights to such systems, and are required to keep the information confidential.","Chúng tôi cung cấp việc sử dụng một máy chủ an toàn. Tất cả các thông tin nhạy cảm / tín dụng cung cấp được truyền qua công nghệ Secure Socket Layer (SSL) và sau đó được mã hóa vào cơ sở dữ liệu nhà cung cấp cổng thanh toán của chúng tôi chỉ có thể truy cập bởi những người được ủy quyền có quyền truy cập đặc biệt đến các hệ thống như vậy, và được yêu cầu phải giữ bí mật thông tin."
"After a transaction, your private information (credit cards, social security numbers, financials, etc.) will not be kept on file for more than 60 days.","Sau một giao dịch, thông tin cá nhân của bạn (thẻ tín dụng, số an sinh xã hội, tài chính, vv) sẽ không được lưu giữ quá 60 ngày."
"Do we use cookies?","Chúng tôi có sử dụng cookies không?"
"Yes (Cookies are small files that a site or its service provider transfers to your computers hard drive through your Web browser (if you allow) that enables the sites or service providers systems to recognize your browser and capture and remember certain information","Có (Cookies là những tập tin nhỏ mà một trang web hoặc nhà cung cấp dịch vụ chuyển đến ổ cứng máy tính của bạn thông qua trình duyệt Web của bạn (nếu bạn cho phép), cho phép các trang web hoặc các hệ thống cung cấp dịch vụ để nhận ra trình duyệt, lưu lại và ghi nhớ một số thông tin nhất định"
"We use cookies to help us remember and process the items in your shopping cart, understand and save your preferences for future visits and compile aggregate data about site traffic and site interaction so that we can offer better site experiences and tools in the future. We may contract with third-party service providers to assist us in better understanding our site visitors. These service providers are not permitted to use the information collected on our behalf except to help us conduct and improve our business.","Chúng tôi sử dụng cookie để giúp ghi nhớ và tiến hành các mặt hàng trong giỏ hàng của bạn, nắm được và lưu lại các ưu đãi của bạn cho lần truy cập sau và biên soạn tổng hợp dữ liệu về lượng truy cập cũng như tương tác với trang web để chúng tôi có thể cung cấp những trải nghiệm và công cụ trang web tốt hơn trong tương lai. Chúng tôi có thể ký hợp đồng với các nhà cung cấp dịch vụ của bên thứ ba để giúp chúng tôi hiểu hơn về khách truy cập trang chủ của chúng tôi. Các nhà cung cấp dịch vụ này không được phép sử dụng những thông tin thu thập thay mặt chúng tôi, ngoại trừ để giúp chúng tôi thực hiện và cải thiện kinh doanh của chúng tôi."
"If you prefer, you can choose to have your computer warn you each time a cookie is being sent, or you can choose to turn off all cookies via your browser settings. Like most websites, if you turn your cookies off, some of our services may not function properly. However, you can still place orders over the telephone or by contacting customer service.","Nếu thích, bạn có thể chọn chế độ để máy tính của bạn cảnh báo mỗi khi một cookie được gửi đi, hoặc bạn có thể chọn tắt tất cả các cookie thông qua các thiết lập trình duyệt của bạn. Giống như hầu hết các trang web, nếu bạn tắt cookie của bạn, một số dịch vụ của chúng tôi có thể không hoạt động đúng chứ năng. Tuy nhiên, bạn vẫn có thể đặt hàng qua điện thoại hoặc liên hệ với dịch vụ khách hàng."
"Do we disclose any information to outside parties?","Chúng tôi có tiết lộ bất kỳ thông tin nào cho những bên không liên quan không?"
"We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information. This does not include trusted third parties who assist us in operating our website, conducting our business, or servicing you, so long as those parties agree to keep this information confidential. We may also release your information when we believe release is appropriate to comply with the law, enforce our site policies, or protect ours or others rights, property, or safety. However, non-personally identifiable visitor information may be provided to other parties for marketing, advertising, or other uses.","Chúng tôi không bán, trao đổi, hay chuyển nhượng cho bên ngoài những thông tin cá nhân của bạn. Điều này không bao gồm các bên thứ ba đáng tin cậy người trợ giúp chúng tôi trong việc điều hành trang web, hoạt động kinh doanh của chúng tôi, hoặc phục vụ bạn, miễn là các bên đồng ý bảo mật thông tin này. Chúng tôi cũng có thể tiết lộ thông tin của bạn khi chúng tôi tin rằng việc này là tuân thủ pháp luật, thực thi chính sách trang web của chúng tôi, hoặc bảo vệ các quyền, tài sản hay sự an toàn. Tuy nhiên, những thông tin không mang tính nhận dạng cá nhân có thể được cung cấp cho các bên khác để tiếp thị, quảng cáo, hoặc các mục đích khác."
"Third party links","Các liên kết với bên thứ ba"
"Occasionally, at our discretion, we may include or offer third party products or services on our website. These third party sites have separate and independent privacy policies. We therefore have no responsibility or liability for the content and activities of these linked sites. Nonetheless, we seek to protect the integrity of our site and welcome any feedback about these sites.","Thỉnh thoảng, trên cơ sở của chúng tôi, chúng tôi có thể bao gồm hoặc cung cấp những sản phẩm và dịch vụ của bên thứ ba trên trang chủ của chúng tôi. Những trang web của bên thứ ba có chính sách bảo mật riêng biệt và độc lập. Do đó, chúng tôi không có bổn phận hay trách nhiệm pháp lý về nội dung cũng như hoạt động của các trang web liên kết. Tuy nhiên, chúng tôi sẽ tìm cách bảo vệ sự toàn vẹn trang chủ của chúng tôi và luôn hoan nghênh bất kỳ thông tin phản hồi về các trang web này."
"Singapore Data Protection Act","Đạo luật bảo vệ dữ liệu Singapore"
"We are in compliance with the requirements of the Singapore Personal Data Collection Act. We adhere to the 9 data protection obligations of the Personal Data Collection Act namely; Consent Obligation; Purpose Limitation Obligation; Notification Obligation; Access & Correction Obligation; Accuracy Obligation; Protection Obligation; Retention Limitation Obligation; Transfer Limitation Obligation and Openness Obligation.","Chúng tôi tuân thủ các yêu cầu của Đạo luật thu thập dữ liệu cá nhân Singapore. Chúng tôi tôn trọng triệt để đối với 9 giao ước bảo vệ dữ liệu trong Đạo luật thu thập dữ liệu cá nhân: Giao ước Thỏa thuận, Giao ước Giới hạn Mục đích; Giao ước thông báo; Giao ước Truy cập & Điều chỉnh; Nghĩa vụ Xác thực; Giao ước Bảo vệ; Giao ước Giới hạn Duy trì; Giao ước giới hạn chuyển giao và Giao ước Trung thực."
"Online Privacy Policy Only","Chỉ có chính sách bảo mật trực tuyến"
