"DO NOT EDIT","Mynmmar"
,
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, KCGA\S","သက်ဆိုင်ရာ ဥပဒေမှခွင့်ပြုသည့်အတိုင်း KCGA သည်"
"TO THE MAXIMUM EXTENT PERMITTED BY APPLICABLE LAW, YOU WILL NOT BRING, REQUEST, JOIN, OR PARTICIPATE IN A CLASS ACTION OR CLASS ARBITRATION PROCEEDING AS TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION YOU MAY HAVE AGAINST KCGA, FUTUREED PTE LTD ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH THE FUTUREED PTE LTD SITE, YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE, AND YOU WAIVE AND RELINQUISH ANY RIGHT YOU MAY NOW OR IN THE FUTURE HAVE TO BRING, REQUEST, JOIN OR PARTICIPATE IN ANY LAWSUIT OR ARBITRATION OR OTHER PROCEEDING ON A CLASS ACTION OR CONSOLIDATED BASIS OR TO PARTICIPATE AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS PERTAINING TO ANY CLAIM, DEMAND, SUIT OR CAUSE OF ACTION ARISING OUT OF, RELATING TO OR IN ANY WAY CONNECTED WITH YOUR USE OF THE FUTUREED PTE LTD SITE, OR ANY TEST, OR OTHER PRODUCT OR SERVICE OBTAINED THROUGH THE FUTUREED PTE LTD SITE. THIS PROVISION DOES NOT CONSTITUTE A WAIVER OF ANY OF YOUR RIGHTS AND REMEDIES TO PURSUE A CLAIM INDIVIDUALLY, AND NOT ON A CLASS ACTION, CLASS ARBITRATION OR CONSOLIDATED BASIS OR AS A REPRESENTATIVE OR MEMBER OF ANY CLASS OF CLAIMANTS.","ဥပဒေမှ ခွင့်ပြုမှု အများဆုံးအတိုင်းအတာအထိ FUTUREED PTE LTD နှင့် တစ်နည်းနည်းဖြင့် ဆက်စပ်သော၊ FUTUREED PTE LTD ဆိုက်ကို သင်အသုံးပြုမှုနှင့် ဆက်စပ်သော ပေါ်ထွက်လာသည့် KCGA နှင့် FUTUREED PTE LTD ကို တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်း၊ ဖြစ်စေမည့် ကိစ္စများကို သင်သည် ယူဆောင်၊ တောင်းဆို၊ ပတ်သက်၊ ပါဝင်ခြင်း မရှိရ။ FUTUREED PTE LTD ကို တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်း၊ ဖြစ်စေမည့် ကိစ္စများကို သင်သည် ယူဆောင်၊ တောင်းဆို၊ ပတ်သက်၊ ပါဝင်ခြင်းတို့ လုပ်ဆောင်ပိုင်ခွင့်မှ သင်က သက်ညှာခွင့်ပေးသည်။ ထို့ပြင် FUTUREED PTE LTD ဆိုက်ကို သင်အသုံးပြုမှုနှင့် ဆက်စပ်သော ပေါ်ထွက်လာသည့် တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်း၊ ဖြစ်စေမည့် ကိစ္စများကို သင်လုပ်ဆောင်ပိုင်ခွင့်များမှ၊ FUTUREED PTE LTD ကို တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်း၊ ဖြစ်စေမည့် ကိစ္စများကို သင်သည် ယူဆောင်၊ တောင်းဆို၊ ပတ်သက်၊ ပါဝင်ခြင်းတို့ လုပ်ဆောင်ပိုင်ခွင့်မှ သင်က သက်ညှာခွင့်ပေးသည်။ တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်းတို့နှင့် မဆိုင်ဘဲ တစ်ဦးချင်းဖြစ်စေ၊ တောင်းဆိုမှု၊ အဆိုပြုမှု၊ အစုလိုက် တရားစွဲခြင်းတို့ကို ကိုယ်စားလှယ်၊ အဖွဲ့ဝင်အဖြစ်ဖြစ်စေ တောင်းဆိုနိုင်မှုမှ ကင်းလွတ်ခွင့်ပေးသည်"
"Severability","သီးခြားစီဖြစ်ခြင်း"
"In the event that any one or more of these provisions should be held invalid, illegal or unenforceable, such provisions will be modified, if possible, to the minimum extent necessary to make them valid and enforceable, or if they cannot be so modified, then severed, and the remaining provisions contained herein will not in any way be affected or impaired","အထက်ပါ ပေးအပ်ဖော်ပြမှုများ အကျုံးမဝင်၊ တရားမဝင်၊ ဥပဒေ မသက်ရောက် တော့လျှင် အဆိုပါ ပေးအပ်ဖော်ပြမှုများကို ဥပဒေ သက်ရောက်မည့် အများဆုံး အတိုင်းအတာအထိ လိုအပ်သလို ပြင်ဆင်ပါမည်။ ထိုသို့ မပြင်ဆင်နိုင်လျှင် ယင်းတို့ကို သီးခြားစီဖြစ်စေကာ ကျန်ရှိသော ယခု ပေးအပ်ဖော်ပြမှုများသည် သက်ရောက်မှု၊ ပျက်ယွင်းမှု မရှိစေရ"
"Jurisdiction and Governing Law","တရားစီရင်ပိုင်ခွင့်များနှင့် အုပ်ချုပ်ရေးဥပဒေ"
"The validity, construction, enforcement and interpretation of these Terms and Conditions of Use is to be governed the laws of Singapore.","ဤအသုံးပြုမှု စည်းမျဉ်းစည်းကမ်းများ၏သက်တမ်း၊ ဖွဲ့စည်းမှု၊ တရားဝင်မှုနှင့် အနက်အဓိပ္ပါယ်ကို စင်္ကာပူနိုင်ငံ၏ ဥပဒေများဖြင့် အုပ်စိုးမည်ဖြစ်သည်"
"Waiver","ကင်းလွတ်ခွင့်ပေးခြင်း"
"KCGA’s failure to enforce strict performance of any provision of these Terms does not constitute a waiver of the right to subsequently enforce such provision.","ဤသတ်မှတ်ချက်များ ပေးအပ်ဖော်ပြမှုကို တင်းကြပ်သောစွမ်းဆောင်ရည်ဖြင့် ပြဋ္ဌာန်းရန် KCGA မှ ပျက်ကွက်လျှင် အဆိုပါ ပေးအပ်ဖော်ပြမှုကို ပြဋ္ဌာန်းပိုင်ခွင့်ကို ကင်းလွတ်ခွင့် မဖြစ်စေပါ"
"Your Consent","သင့် သဘောတူခွင့်ပြုချက်"
"By using our site, you consent to our terms and conditions as written in this agreement.","ကျွန်ုပ်တို့ဆိုက်ကို သုံးခြင်းအားဖြင့် ဤသဘောတူညီချက်၌ ရေးထားသော စည်းမျဉ်းစည်းကမ်းများကို သင်က သဘောတူခွင့်ပြုလိုက်ပါသည်"
"Contacting Us","ကျွန်ုပ်တို့ကို ဆက်သွယ်ခြင်း"
"If there are any questions regarding this policy you may contact us using the information below.","ဤမူဝါဒနှင့် ပတ်သက်ပြီး မေးခွန်းများ ရှိပါက အောက်ပါအချက်အလက်များကိုသုံးပြီး ကျွန်ုပ်တို့ထံ ဆက်သွယ်နိုင်ပါသည်"
"To get started on using Future Lesson, you need to add a student, click","အနာဂတ်သင်ခန်းစာကို စတင်သုံးရန် ကျောင်းသား ပေါင်းထည့်ရန် လိုပါသည်။ နှိပ်ပါ"
"If you already added a Student, you can","ကျောင်းသား ပေါင်းထည့်ပြီးပါက သင်သည်"
"buy a subject","ဘာသာရပ် ဝယ်နိုင်သည်"
"for the your student","သင့်ကျောင်းသားအတွက်"
"You can also","ထိုပြင် သင်သည်"
"review","ပြန်လည်သုံးသပ်နိုင်သည်"
"the lessons and practice questions.","သင်ခန်းစာများနှင့် လေ့ကျင့်ခန်း မေးခွန်းများကို"
"Progress in Future Lesson Curriculum","အနာဂတ်သင်ခန်းစာ သင်ရိုးညွှန်းတမ်း တိုးတက်မှု"
"Progress in Future Lesson Curriculum","အနာဂတ်သင်ခန်းစာ သင်ရိုးညွှန်းတမ်း တိုးတက်မှု"
"Badges Earned","ရရှိသည့် တံဆိပ်များ"
"Number of Medals Earned","ရရှိသည့် ဆုတံဆိပ် အရေအတွက်"
"Lessons Completed","သင်ပြီးသည့် သင်ခန်းစာများ"
"Tips Written","ရေးပြီးသည့် သိကောင်းစရာများ"
"Hours Spent in Last 7 Days","နောက်ဆုံး ၇ ရက်အတွင်း ကုန်ဆုံးခဲ့သော နာရီ"
"Hours Spend","ကုန်ဆုံးသောနာရီ"
"Invitation Code","ဖိတ်ကြားလွှာ ကုဒ်"
"The student you have added will be receiving an email containing the code.","သင်ပေါင်းထည့်သော ကျောင်းသားက ကုဒ်ပါဝင်သော အီးမေးလ်တစ်စောင်လက်ခံရရှိလိမ့်မည်"
"Please get this code from the student and input it on the field above.","ကျောင်းသားထံမှ ထိုကုဒ်ကိုယူပြီး အောက်ပါအကွက်ထဲ ၎င်းကိုထည့်ပါ။ "
"You can also confirm the invitation code in viewing the student details.","ကျောင်းသား အသေးစိတ်ကို ကြည့်ရှု၍လည်း ဖိတ်ကြားချက်ကုဒ်ကို အတည်ပြုနိုင်ပါသည်"
"Teaching Content","သင်ကြားမှု အကြောင်းအရာ"
"Principal Dashboard","ကျောင်းအုပ် မူလနေရာ"
"Teacher Dashboard","ဆရာ မူလနေရာ"
"Parent Dashboard","မိဘ မူလနေရာ"
"Teacher Details","ဆရာ အသေးစိတ်"
"Delete Teacher","ဆရာကို ပယ်ဖျက်ပါ"
"Are you sure you want to delete this teacher account?","ဤဆရာအကောင့်ကို သင်ပယ်ဖျက်လိုတာ သေချာသလား"
"Add Teacher","ဆရာ ပေါင်းထည့်ပါ"
"Send Invitation","ဖိတ်ကြားလွှာ ပို့ပါ"
"Delete Invoice","ငွေတောင်းခံလွှာကို ပယ်ဖျက်ပါ"
"Are you sure you want to delete this invoice?","ဤငွေတောင်းခံလွှာကို သင်ပယ်ဖျက်လိုတာ သေချာသလား"
"Cancel Subscription","စာရင်းသွင်းမှု ဖျက်ပါ"
"Are you sure you want to cancel this subscription?","ဤစာရင်းသွင်းမှု ဖျက်လိုတာ သေချာသလား"
"View Sales Invoice","အရောင်းပြေစာကို ကြည့်ပါ"
"To get started on using Future Lesson, you need to invite a","အနာဂတ်သင်ခန်းစာကို စတင်ရန် သင်ကဖိတ်ခေါ်ဖို့လိုပါသည်"
"first to manage your classes.","သင့်အတန်းများကို ဦးစွာ စီမံခန့်ခွဲရန်"
"If you have already invited a Teacher, you need to go to the","သင်က ဆရာကို ဖိတ်ကြားပြီးလျှင် သွားရမည့်နေရာမှာ"
"to buy seats for your classes.","သင့်အတန်းများအတွက် ထိုင်ခုံများ ဝယ်ပါ"
"You have successfully changed your password.","သင့်စကားဝှက်ကို အောင်မြင်စွာ ပြောင်းလဲပြီးပြီ"
"Email Confirmation Code Sent","အီးမေးလ်အတည်ပြုချက် ကုဒ်ကို ပို့ထားသည်"
"Email Confirmation Code Resent","အီးမေးလ်အတည်ပြုချက် ကုဒ် ပြန်ပို့ပါ"
"Please enter the email code to confirm your new email address.","သင့်အီးမေးလ်လိပ်စာ အသစ်ကို အတည်ပြုရန် အီးမေးလ် ကုဒ်ကို ဖြည့်ပါ"
"A new email code has been sent to your email account.","သင့်အီးမေးလ်အကောင့်သို့ အီးမေးလ် ကုဒ် အသစ်ကို ပို့ထားသည်"
"Enter Email Confirmation Code","အီးမေးလ်အတည်ပြုချက် ကုဒ်ကို ဖြည့်ပါ"
"You have successfully confirmed your new email address.","သင့်အီးမေးလ်လိပ်စာ အသစ်ကို အောင်မြင်စွာအတည်ပြုပြီးပါပြီ"
"To get started on using Future Lesson, you need to add a student under a","အနာဂတ်သင်ခန်းစာကို စသုံးရန် အောက်တွင် ကျောင်းသား ပေါင်းထည့်ရန် လိုပါသည်"
"To see all your students, click","သင့်ကျောင်းသားများ မြင်နိုင်ရန် နှိပ်ပါ"
"To review the lessons and practice questions, click on","သင်ခန်းစာများနှင့် လေ့ကျင့်ခန်း မေးခွန်းများကို ပြန်လည်သုံးသပ်ရန်  နှိပ်ပါ"
"View class list","အတန်းစာရင်းကို ကြည့်ပါ"
"Be right back.","အခုပြန်လာခဲ့မယ်"
"We are currently undergoing maintenance.","ကျွန်ုပ်တို့ လက်ရှိ၌ ထိန်းသိမ်းဆောင်ရွက်မှု ပြုလုပ်နေပါသည်"
"Invalid Access","ဝင်ခွင့်ကုဒ် မှားနေသည်"
"Sorry, you do not have the permission to access this page.","ဝမ်းနည်းပါတယ်။ သင် ဤစာမျက်နှာကို ဝင်ရောက်ခွင့် မရှိပါ"
"Page Not Found","စာမျက်နှာ မတွေ့ပါ"
"Sorry, the page you are trying to access does not exist.","ဝမ်းနည်းပါတယ်။ သင်ဝင်ဖို့ကြိုးစားနေသော စာမျက်နှာ မတည်ရှိပါ"
"Click here to reset your password","သင့်စကားဝှက်ကို ပြန်သတ်မှတ်ရန် ဒီနေရာကိုနှိပ်ပါ"
"All saved progress in","သိမ်းထားသော တိုးတက်မှုအားလုံး"
"Module has been reset by Admin.","မော်ဂျူးကို ကြီးကြပ်သူက ပြန်သတ်မှတ်ထားသည်"
"If you did not ask for this change, please contact Administrator right away.","သင်ဤပြောင်းလဲမှု မပြုလုပ်ပါက ကြီးကြပ်သူကို ချက်ချင်းဆက်သွယ်ပါ"
"You have opt to resend your confirmation code.","သင့်အတည်ပြုချက်ကုဒ်ကို ပြန်ပို့ရန် သင်ရွေးချယ်ထားပါပြီ"
"Your confirmation code","သင့်အတည်ပြုချက်ကုဒ်"
"Link to Future Lessons","အနာဂတ်သင်ခန်းစာများသို့ လင့်"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you.","အနာဂတ်သင်ခန်းစာကို ပူးပေါင်းခြင်းနှင့် အင်တာနက်ပေါ်မှ အကောင်းဆုံး အသိုင်းအဝိုင်းရဲ့အစိတ်အပိုင်းဖြစ်လာအပေါ် ကျေးဇူးတင်ပါတယ်။ ဤမယုံကြည်နိုင်လောက်သော သင်ယူမှုစွန့်စားခန်းကို သင်တို့နှင့်အတူ သင်ယူရန် မျှော်လင့်နေပါတယ်"
"So tell us, who would you like to be when you grow up? A doctor, astronaut, scientist? Pick your Avatar","ထို့ကြောင့် သင်ကြီးပြင်းလာသောအခါ ဖြစ်လိုသောသူကို ကျွန်ုပ်တို့အား ပြောပြနိုင်မလား။ ဆရာဝန်၊ အာကာသယာဉ်မှူး၊ သိပ္ပံပညာရှင် ဘယ်သူလဲ။ သင့်ရဲ့ ဇာတ်ကောင်ကို ရွေးပါ"
"has requested to add you in his/her dashboard.","သူ/သူမ၏ မူလနေရာ၌ သင့်ကို ထည့်သွင်းရန် တောင်းဆိုပါတယ်"
"Please give this invitation code so that you will be added in his/her student list.","သူ/သူမ၏ကျောင်းသားစာရင်းထဲတွင် ထည့်သွင်းနိုင်ရန် ဤဖိတ်ကြားလွှာ ကုဒ်ကို ပေးပါ။ "
"Invitation code","ဖိတ်ကြားလွှာ ကုဒ်"
"would like you to join us on the Future Lesson platform. Please go to","အနာဂတ်သင်ခန်းစာ ပလက်ဖောင်းတွင် သင့်ကို ကျွန်ုပ်တို့နှင့်အတူ ဆက်သွယ်စေလိုပါသည်။ သွားရန်နေရာ"
"Registration Page","မှတ်ပုံတင်ခြင်း စာမျက်နှာ"
"and create your profile to join this community.","ဤအသိုင်းအဝိုင်းနှင့် ဆက်သွယ်ရန် သင့်ကိုယ်ရေးအကျဉ်းကို ဖန်တီးပါ"
"We look forward to taking this incredible learning adventure with you and your students.","ဤမယုံကြည်နိုင်လောက်သော သင်ယူမှုစွန့်စားခန်းကို သင်၊ သင့်ကျောင်းသားများနှင့်အတူ သင်ယူရန် မျှော်လင့်နေပါတယ်"
"You have been added in","သင့်ကို ပေါင်းထည့်ပြီးပြီ"
"by Teacher","ဆရာက"
"Your Future Lesson account is now active.","သင့်အနာဂတ်သင်ခန်းစာ အကောင့် ယခု အသက်ဝင်နေသည်"
"Please go to","သွားရန်"
"Login Page","အကောင့်ဝင်ရန် စာမျက်နှာ"
"and login to begin your adventure on the Future Lesson platform.","ထို့နောက် သင့်အနာဂတ်သင်ခန်းစာ ပလက်ဖောင်းပေါ်တွင် သင်၏စွန့်စားခန်းကို စတင်ရန် အကောင့်ဝင်ပါ"
"You need to update your billing information in order to proceed buying a subscription.","စာရင်းသွင်းခြင်းဝယ်ယူမှု ဆက်လက်ဆောင်ရွက်နိုင်ရန်အတွက် သင်၏ငွေတောင်းခံသတင်းအချက်အလက်ကို အသစ်ပြင်ရန် လိုပါသည်"
"Update Now","ယခု အသစ်ပြင်ပါ"
"Your account has not been verified, please review your registration and try again or contact the system administrator at help@futurelesson.com.","သင့်ရဲ့အကောင့်ကို မစိစစ်ရသေးပါ။ သင့်မှတ်ပုံတင်ခြင်းကို ပြန်လည်သုံးသပ်ကာ ထပ်ကြိုးစားပါ သို့မဟုတ် help@futurelesson.com မှာ စနစ်စီမံခန့်ခွဲသူကို ဆက်သွယ်ပါ"
"Go To Registration","မှတ်ပုံတင်ရန် သွားပါ"
"You have opt to resend your confirmation code.","သင့်အတည်ပြုချက်ကုဒ်ကို ပြန်ပို့ရန် သင်ရွေးချယ်ထားပြီ"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your student.","အနာဂတ်သင်ခန်းစာကို ပူးပေါင်းခြင်းနှင့် အင်တာနက်ပေါ်မှ အကောင်းဆုံး အသိုင်းအဝိုင်းရဲ့အစိတ်အပိုင်းဖြစ်လာအပေါ် ကျေးဇူးတင်ပါတယ်။ ဤမယုံကြည်နိုင်လောက်သော သင်ယူမှုစွန့်စားခန်းကို သင်နှင့် သင့်ကျောင်းသားနှင့်အတူ သင်ယူရန် မျှော်လင့်နေပါတယ်"
"To start we need you to confirm with the code on the link provided below.","စတင်နိုင်ရန် အောက်ပါ လင့်ခ်ပေါ်တွင် ပေးထားသော ကုဒ်ဖြင့် အတည်ပြုရန် လိုပါသည်။ "
"To start your learning we need you to confirm with the code on the link provided below.","သင့်ရဲ့သင်ယူမှုကိုစတင်ရန် အောက်ပါ လင့်ခ်ပေါ်တွင် ပေးထားသော ကုဒ်ဖြင့် ကျွန်ုပ်တို့က အတည်ပြုရန် လိုအပ်ပါတယ်"
"Thanks for joining us at Future Lesson and congratulations on becoming part of the coolest community of learners on the web! We look forward to taking this incredible learning adventure with you and your child.","အနာဂတ်သင်ခန်းစာကို ပူးပေါင်းခြင်းနှင့် အင်တာနက်ပေါ်မှ အကောင်းဆုံး အသိုင်းအဝိုင်းရဲ့အစိတ်အပိုင်းဖြစ်လာအပေါ် ကျေးဇူးတင်ပါတယ်။ ဤမယုံကြည်နိုင်လောက်သော သင်ယူမှုစွန့်စားခန်းကို သင်နှင့် သင့်ကလေးငယ်နှင့်အတူ သင်ယူရန် မျှော်လင့်နေပါတယ်"
"has assigned you to","သင့်အားတာဝန်ပေးအပ်ခဲ့သည်"
"to teach. You may now start adding your students to your class.","သင်ကြားရန်။ ယခုသင့်အတန်းထဲသို့ သင့်ကျောင်းသားများ စတင်ပေါင်းထည့်နိုင်ပါသည်"
"to login.","အကောင့်ဝင်ရန်"
"to create your profile to join this community and set-up your classroom.","ဒီအသိုင်းအဝိုင်းပူးပေါင်းနှင့် သင့်စာသင်ခန်း ပြင်ဆင်ရန် သင့်ကိုယ်ရေးအကျဉ်းကို ဖန်တီးပါ"
"Your password has been reset. Your new password is","သင့်စကားဝှက်ကို ပြန်သတ်မှတ်ထားသည်။ သင့်ရဲ့စကားဝှက်အသစ်မှာ"
"If you did not request for this, please contact the administrator right away.","ဤတောင်းဆိုမှု သင်မဆောင်ရွက်ခဲ့လျှင် ကြီးကြပ်သူထံ ချက်ချင်းဆက်သွယ်ပါ"
"Your email has been changed from","သင့်အီးမေးလ်ကို ပြောင်းခဲ့သည်မှာ"
"You can now use this email in your","ယခုအီးမေးလ်ကို သင်သုံးနိုင်ပါသည်"
"Your Picture Password has been saved.","သင့်ရုပ်ပုံစကားဝှက်ကို သိမ်းဆည်းထားသည်"
"You may now use this picture password in your succeeding login.","သင့်နောက်ထပ် အကောင့်ဝင်ရာ၌ ဤရုပ်ပုံစကားဝှက်ကို သုံးနိုင်ပါသည်"
"Change Picture Password","ရုပ်ပုံစကားဝှက်ကို ပြောင်းပါ"
"Please enter the email confirmation code to verify your new email address.","သင့်အီးမေးလ်လိပ်စာအသစ်ကို အတည်ပြုရန် အီးမေးလ် အတည်ပြုချက်ကုဒ်ကို ဖြည့်ပါ"
"The email contains an email code that you need to input below.","အဆိုပါအီးမေးလ်တွင် သင်အောက်၌ ဖြည့်ရမည့် အီးမေးလ်ကုဒ် ပါဝင်ပါသည်"
"Please Select Your Picture Password","သင့်ရုပ်ပုံစကားဝှက်ကို ရွေးပါ"
"You have no available subjects.","သင့်ထံ၌ ဘာသာရပ်များ မရှိပါ"
"You need a Teacher to add you to a Class.","သင့်ကို အတန်းထဲ ပေါင်းထည့်ရန် သင်က ဆရာကို လိုအပ်ပါသည်"
"You can have your Parent buy you a subscription.","သင်ကို စာရင်းသွင်းမှုအတွက် သင့်မိဘက ဝယ်ပေးနိုင်ပါသည်"
"You can proceed to","သင်ဆက်လက်ဆောင်ရွက်ရန်"
"Student Payment","ကျောင်းသား ငွေပေးချေမှု"
"page.","စာမျက်နှာ"
"Please enter the reset code to create your new picture password.","သင့်ရုပ်ပုံစကားဝှက်ကို ဖန်တီးရန် ပြန်သတ်မှတ်ချက်ကုဒ်ကို ဖြည့်ပါ"
"A new email to reset your picture password has been sent to your email account.","သင့်ရုပ်ပုံစကားဝှက် ပြန်သတ်မှတ်ရန် အီးမေးလ်ကို သင့်အီးမေးလ်အကောင့်သို့ ပို့ထားသည်"
"Please enter the confirmation code to verify your email address and to setup your new picture password.","သင့်အီးမေးလ်လိပ်စာ အတည်ပြုရန် အတည်ပြုချက်ကုဒ်ကိုဖြည့်ပြီး ရုပ်ပုံစကားဝှက် အသစ်ကို သတ်မှတ်ပေးပါ"
"FUTUREED PRIVACY POLICY","FUTUREED ပုဂ္ဂိုလ်ရေး မူဝါဒ"
"What information do we collect?","မည်သည့်အချက်အလက်ကို ကျွန်ုပ်တို့ ရယူပါသလဲ"
"We collect information from you when you register on our site, place an order, respond to a survey or assessment or fill out a form. When ordering or registering on our site, as appropriate, you may be asked to enter your name, e-mail address, mailing address, date of birth, contacts, company, title, phone number or identity/passport number. You may, however, visit our site anonymously.","ကျွန်ုပ်တို့ ဆိုက်ပေါ်တွင် သင်မှတ်ပုံတင်သောအခါ၊ အမှာစာပို့သောအခါ၊ စစ်တမ်းကို တုန့်ပြန်သောအခါ၊ ဖောင်ဖြည့်သောအခါ ကျွန်ုပ်တို့က အချက်အလက်များ စုဆောင်းပါသည်။ ကျွန်ုပ်တို့ ဆိုက်ပေါ်တွင် သင်မှတ်ပုံတင်သောအခါ၊ အမှာစာပို့သောအခါ၊ သင့်အမည်၊ အီးမေးလ်လိပ်စာ၊ စာပို့လိပ်စာ၊ မွေးနေ့၊ အဆက်အသွယ်များ၊ ကုမ္ပဏီ၊ ဘွဲ့ထူးဂုဏ်ထူး၊ ဖုန်းနံပါတ် သို့မဟုတ် မှတ်ပုံတင်/နိုင်ငံကူးလက်မှတ် တို့ကို သင့်လျော်သလို ရိုက်ထည့်ခိုင်းနိုင်ပါသည်။ သို့သော် သင်က အမည်မဖော်ပြဘဲ ကျွန်ုပ်တို့ ဆိုက်ကို ဝင်နိုင်ပါသည်"
"What do we use your information for?","သင့်အချက်အလက်များကို ကျွန်ုပ်တို့က မည်သို့ အသုံးပြုသနည်း"
"Any of the information we collect from you may be used in one of the following ways:","သင့်ထံမှ စုဆောင်းသော အချက်အလက်များကို အောက်ပါနည်းလမ်းတစ်ခုခုဖြင့် အသုံးပြုပါသည်"
"To assist us to create an account for your use and for administration of our products","သင်သုံးရန် အကောင့် ဖန်တီးပေးရန်နှင့် ကျွန်ုပ်တို့၏ ထုတ်ကုန်များ ကြီးကြပ်ရန်အတွက်"
"To assist us in resolving any of your technical or content or questions you may have about our products and services","ကျွန်ုပ်တို့၏ ထုတ်ကုန်များနှင့် ဝန်ဆောင်မှုများအကြောင်း သင်သိလိုသော သင့်နည်းပညာဆိုင်ရာ သို့မဟုတ် အကြောင်းအရာ သို့မဟုတ် မေးခွန်းများကို ကူညီဖြေရှင်းပေးရန်"
"To personalize your experience (your information helps us to better respond to your individual needs)","သင့်ရဲ့အတွေ့အကြုံ (သင့်တစ်ဦးချင်း လိုအပ်ချက်ကို ပိုမိုကောင်းမွန်စွာ တုံ့ပြန်ရန် ကျွန်ုပ်တို့ကို ကူညီပေးသော အချက်အလက်များ) ကို တစ်ဦးချင်းအကြိုက် ဖြစ်စေရန်"
"To improve our website (we continually strive to improve our website offerings based on the information and feedback we receive from you)","ကျွန်ုပ်တို့၏ ဝက်ဘ်ဆိုက် တိုးတက်စေရန် (သင့်ထံမှရရှိသော အချက်အလက်များနှင့် တုံ့ပြန်ချက်အပေါ် အခြေခံပြီး ကျွန်ုပ်တို့၏ ဝက်ဘ်ဆိုက် တိုးတက်စေရန် ကျွန်တော်တို့အစဉ်မပြတ် ကြိုးစားပါသည်) "
"To improve customer service (your information helps us to more effectively respond to your customer service requests and support needs)","ဖောက်သည်ဝန်ဆောင်မှု တိုးတက်စေရန် (သင့်ဖောက်သည်ဝန်ဆောင်မှု တောင်းဆိုမှုများနှင့် ထောက်ခံမှုလိုအပ်ချက်များကို ထိရောက်စွာ တုံ့ပြန်ရန် သင့်အချက်အလက်များက ကျွန်ုပ်တို့ကို ကူညီပါသည်)"
"To process transactions","ငွေပေးချေမှု ဆောင်ရွက်ရန်"
"To administer a contest, promotion, survey or other site feature","ပြိုင်ပွဲ၊ အရောင်း မြှင့်တင်ရေး၊ စစ်တမ်း သို့မဟုတ် အခြားသော ဆိုက်အင်္ဂါရပ်များကို ကြီးကြပ်ရန်"
"To send periodic emails. The email address you provide for order processing, may be used to send you information and updates pertaining to your order, in addition to receiving occasional company news, updates, related product or service information, etc. Note: If at any time you would like to unsubscribe from receiving future emails, we include detailed unsubscribe instructions at the bottom of each email.","အချိန်အပိုင်းအခြားအလိုက် အီးမေးလ်များ ပေးပို့ရန်။ အမှားစာမှာကြားရန် သင်ပေးအပ်သော အီးမေးလ်လိပ်စာသို့ ကုမ္ပဏီသတင်းများ၊ အသစ်များ၊ သက်ဆိုင်ရာ ကုန်ပစ္စည်း သို့မဟုတ် ဝန်ဆောင်မှု အချက်အလက် စသည်တို့ကို ရရှိမည့်အပြင် သင့်အမှာစာနှင့်ဆိုင်သော အချက်အလက်များနှင့် အသစ်များကို ပေးပို့နိုင်ပါသည်။ အနာဂတ်တွင် အီးမေးလ်များကို လက်ခံရရှိလိုခြင်း မရှိတော့လျှင် လက်ခံရရှိမှု ပယ်ဖျက်ရန် ရွေးချယ်စရာ လမ်းညွှန်များကို ကျွန်ုပ်တို့က အီးမေးလ်တိုင်း၏ အောက်ခြေ၌ ထည့်သွင်းထားပါသည်"
"Your information, whether public or private, will not be sold, exchanged, transferred, or given to any other company for any reason whatsoever, without your consent, other than for the express purpose of delivering the purchased product or service requested.","ဝယ်ယူရန် တောင်းဆိုသော ကုန်ပစ္စည်း သို့မဟုတ် ဝန်ဆောင်မှု ပို့ဆောင်ရန် ရှင်းလင်းသော ရည်ရွယ်ချက်အတွက်မှအပ၊ အများပြည်သူ သို့မဟုတ်ပုဂ္ဂလိကဖြစ်သော သင့်အချက်အလက်များကို ရောင်းချခြင်း၊ ဖလှယ်ခြင်း၊ လွှဲပြောင်းခြင်း၊ အခြားမည်သည့်ကုမ္ပဏီအား သင့်ခွင့်ပြုချက်မရှိဘဲ ပေးအပ်ခြင်းတို့ကို ဆောင်ရွက်မည်မဟုတ်ပါ"
"How do we protect your information?","သင့်အချက်အလက်များကို ကျွန်ုပ်တို့ မည်သို့ ကာကွယ်ပါသနည်း"
